fish cake [01/'fi∫keik/]	[01* dtừ]\n- bánh gồm có cá luộc và khoai tây ghém
fish finger [01/'fi∫,fiηgə/]	[01* dtừ]\n- lát cá tẩm bột
fish preserve [01/'fi∫pri'zə:v/]	[01* dtừ]\n- ao nuôi cá, đầm nuôi cá
fishable [01/'fi∫əbl/]	[01* ttừ]\n- có thể đánh cá được
fishbolt [01/'fi∫boult/]	[01* dtừ]\n- (ngành đường sắt) bulông siết (để bắt thanh nối ray vào đường ray) 
fishbone [01/'fi∫boun/]	[01* dtừ]\n- xương cá
fishbowl [01/'fi∫boul/]	[01* dtừ]\n- bình nuôi cá
fish-breeding [01/'fi∫,bri:diη/]	như [03fish-culture]
fish-cake [01/'fi∫,keik/]	[01* dtừ]\n- bánh dẹt làm bằng cá nấu chín với khoai tây
fish-carver [01/'fi∫,kɑ:və/]	[01* dtừ]\n- dao lạng cá (ở bàn ăn) 
fish-culture [01/'fi∫,kʌlt∫ə/]	[01* dtừ]\n- nghề nuôi cá
fisher [01/'fi∫ə/]	[01* dtừ]\n- (Mỹ) thuyền đánh cá\n- (cổ) người câu cá; người đánh cá; người sống về nghề chài lưới\n[04! fisher of men]\n- (cổ) nhà truyền giáo
fisherman [01/'fi∫əmən/]	[01* dtừ]\n- người đánh cá, thuyền chài\n- người câu cá, người bắt cá\n- thuyền đánh cá
fishery [01/'fi∫əri/]	[01* dtừ]\n- công nghiệp cá; nghề cá\n[02= inshore fishery] nghề lộng\n[02= deep-sea fishery] nghề khơi\n- nơi nuôi cá, nơi đánh cá
fish-eye lens [01/'fi∫'ailenz/]	[01* dtừ]\n- thấu kính mắt cá
fish-fag [01/'fi∫fæg/]	[01* dtừ]\n- cô bán cá
fish-farm [01/'fi∫fɑ:m/]	[01* dtừ]\n- ao thả cá
fish-farming [01/'fi∫,fɑ:miη/]	[01* dtừ]\n- sự nuôi cá; nghề nuôi cá
fish-garth [01/'fi∫ga:θ/]	[01* dtừ]\n- đập chặn cá
fish-gig [01/'fi∫gig/]	[01* dtừ]\n- lao móc (để đánh cá)((cũng) [03fizgig] ) 
fish-globe [01/'fi∫gloub/]	[01* dtừ]\n- liễn thả cá vàng
fish-glue [01/'fi∫glu:/]	[01* dtừ]\n- keo cá, thạch cá
fish-guano [01/'fi∫,gwa:nou/]	như [03fish-manure]
fish-hawk [01/'fi∫hɔ:k/]	[01* dtừ]\n- chim ó
fish-hold [01/'fi∫hould/]	[01* dtừ]\n- bãi cá
fish-hook [01/'fi∫huk/]	[01* dtừ]\n- lưỡi câu
fish-house [01/'fi∫haus/]	[01* dtừ]\n- khoang cá sống (trên tàu) 
fishily [01/'fi∫ili/]	[01* phtừ]\n- đáng nghi, ám muội
fishiness [01/'fi∫inis/]	[01* dtừ]\n- tính chất như cá\n- sự lắm cá\n- tính chất đáng nghi, tính chất ám muội
fishing [01/'fi∫iη/]	[01* dtừ]\n- sự đánh cá, sự câu cá\n- nghề cá\n[02= deep-sea fishing] nghề khơi
fishing pole [01/'fiʃiɳpoul/]	như [03fishing-rod]
fishing spear [01/'fi∫iη,bout/]	như [03fishing-boat]
fishing-boat [01/'fi∫iηbout/]	[01* dtừ]\n- thuyền đánh cá
fishing-line [01/'fi∫iηlain/]	[01* dtừ]\n- dây câu
fishing-net [01/'fi∫iηnet/]	như [03fish-net]
fishing-rod [01/'fi∫iηrɔd/]	[01* dtừ]\n- cần câu
fishing-tackle [01/'fi∫iη'tækl/]	[01* dtừ]\n- đồ câu cá, đồ đánh cá
fish-kettle [01/'fi∫,ketl/]	[01* dtừ]\n- nồi kho cá, xoong nấu cá (hình bầu dục) 
fish-knife [01/'fi∫naif/]	[01* dtừ]\n- dao cắt cá (ở bàn ăn) 
fish-like [01/'fi∫laik/]	[01* ttừ]\n- dạng cá
fish-line [01/fi∫lain/]	[01* dtừ]\n- dây câu cá
fish-manure [01/'fi∫mə,njuə/]	[01* dtừ]\n- phân cá
