equivariant	- đẳng biến
errant [01/'erənt/]	[01* ttừ]\n- lang thang, giang hồ\n- sai lầm, sai sót, không đúng tiêu chuẩn\n[01* dtừ]\n- (như) [03knight-errant] 
errantly	- xem [03errant] 
errantry [01/'erəntri/]	[01* dtừ]\n- thân thể của hiệp sĩ giang hồ\n- tính giang hồ hiệp sĩ
errata [01/e'rɑ:təm/]	như [03erratum]
erratic [01/i'rætik/]	[01* ttừ]\n- thất thường, được chăng hay chớ, bạ đâu hay đấy\n- (y) chạy, di chuyển (chỗ đau)\n- (hiếm) lang thang\n[02= erratic blocks] (địa) đá tảng lang thang\n[04! erratic driving]\n- sự lái chưa vững, sự lái chập choạng (ô tô)\n[01* dtừ]\n- (Mỹ) người tính tình thất thường, người được chăng hay chớ, người bạ đâu hay đấy
erratically [01/i'rætikəli/]	[01* phtừ]\n- thất thường, được chăng hay chớ, bạ đâu hay đấy\n- chập choạng (lái xe ô tô) 
erraticism	- xem [03erratic] 
erratics [01/i'rætiks/]	[01* dtừ]\n- (địa chất) tầng lăn; đá lang thang; phiêu nham
erratum [01/e'rɑ:təm/]	[01* dtừ] s/n [03errata]\n- lỗi in, lỗi viết\n- bản đính chính
errhine [01/'erin/]	[01* ttừ]\n- làm hắt hơi\n[01* dtừ]\n- (y) thuốc hắt hơi
erroneous [01/i'rounjəs/]	[01* ttừ]\n- sai lầm, sai sót; không đúng
erroneously [01/i'rounjəsli/]	[01* phtừ]\n- sai, nhầm
erroneousness [01/i'rounjəsnis/]	[01* dtừ]\n- tính sai lầm, tính sai sót; tính không đúng
error [01/'erə/]	[01* dtừ]\n- sự sai lầm, sự sai sót, lỗi; ý kiến sai lầm; tình trạng sai lầm\n[02= to commit (make) an error] phạm sai lầm, mắc lỗi\n[02= in error] vì lầm lẫn\n- (kỹ) sai số; độ sai\n- sự vi phạm\n- (rađiô) sự mất thích ứng
error analysis	- (kỹ) phân tích sai lầm; phân tích sai số
error byte	- (kỹ) bai sai số
error character	- (kỹ) ký tự sai lầm
error checking code	- (kỹ) mã kiểm sai lầm
error control character	- (kỹ) ký tự kiểm soát sai lầm
error control equipment	- (kỹ) thiết bị kiểm soát sai lầm
error correcting code	- (kỹ) mã hiệu chỉnh sai lầm
error detecting code	- (kỹ) mã phát hiện sai lầm
error detection routine	- (kỹ) thường trình phát hiện sai lầm
error detector	- (kỹ) bộ phát hiện sai số
error diagnostics	- (kỹ) chẩn đoán sai lầm
error flag	- (kỹ) cờ báo sai lầm
error free	- (kỹ) không sai số; không sai lầm
error function	- (kỹ) hàm sai số
error handling	- (kỹ) xử lý sai lầm = [03error analysis] 
error interrupt	- (kỹ) ngắt khi có sai số
error level	- (kỹ) mức sai lầm
error log	- (kỹ) sổ ghi sai lầm
error message	- (kỹ) thông báo về sai lầm
error notch	- (kỹ) dấu sai
error probability	- (kỹ) xác suất sai số
error rate	- (kỹ) độ sai lầm
error ratio	- (kỹ) tỷ số sai lầm
error recovery procedure (ERP)	- (kỹ) thủ tục hồi phục khi có sai lầm
error signal	- (kỹ) tín hiệu sai số
error transmission	- (kỹ) truyền sai lầm
errorless [01/'erəlis/]	[01* ttừ]\n- không có sai lầm, không có lỗi; đúng, đúng đắn
ersatz [01/'eəzæts/]	[01* dtừ]\n- thế phẩm
erst [01/ə:st/]	[01* phtừ]\n- (cổ) ngày xưa, xưa kia
erstwhile [01/'ə:stwail/]	như [03erst]
erubescence [01/eru:'besəns/]	[01* dtừ]\n- sự ửng đỏ (mặt) ; cách làm ửng đỏ (quả) 
erubescent [01/,eru:'besnt/]	[01* ttừ]\n- ửng đỏ
erubescite [01/ru:be'sait/]	[01* dtừ]\n- (khoáng) erubetxit
eruciform [01/i'ru:sifɔ:m/]	[01* ttừ]\n- dạng sâu
eruct [01/i'rʌkt/]	như [03eructate]
eructate [01/i'rʌkteit/]	[01* đtừ]\n- ợ, ợ hơi\n- phun (núi lửa) 
eructation [01/,i:rʌk'tei∫n/]	[01* dtừ]\n- sự ợ, sự ợ hơi\n- sự phun (núi lửa) 
eructative	- xem [03eructation] 
erudite [01/'eru:dait/]	[01* ttừ]\n- học rộng, uyên bác
eruditely [01/'eru:daitli/]	[01* phtừ]\n- uyên thâm, uyên bác
eruditeness	- xem [03erudite] 
erudition [01/,eru:'di∫n/]	[01* dtừ]\n- học thức, uyên bác; tính uyên bác
eruginous [01/i'rudʒinəs/]	[01* ttừ]\n- xanh lục; có màu gỉ đồng
erumpent [01/i'rʌmpənt/]	[01* ttừ (thực vật)]\n- phát sinh nhất thời; đột nhiên xuất hiện\n- bị nứt đột ngột
erupt [01/i'rʌpt/]	[01* nđtừ]\n- phun (núi lửa)\n- nổ ra (chiến tranh...)\n- nhú lên, mọc (răng) 
eruption [01/i'rʌp∫n/]	[01* dtừ]\n- sự phun (núi lửa)\n- sự nổ ra; sự phọt ra\n- (y) sự phát ban\n- sự nhú lên, sự mọc (răng) 
eruptional [01/i'rʌp∫ənl/]	[01* ttừ]\n- (địa) phun trào do núi lửa phun ra
eruptive [01/i'rʌptiv/]	[01* ttừ]\n- nổ ra; có xu hướng nổ ra, có xu hướng nổi lên\n- (như) [03eruptional] 
eruptively	- xem [03erupt] 
eruptiveness [01/i'rʌptivnis/]	như [03eruptivity]
eruptivity [01/,irʌp'tiviti/]	[01* dtừ]\n- xu hướng phun trào (núi lửa)\n- tính chất nổ bùng; xu hướng nổ bùng
eryngium [01/e'riηdʒjəm/]	[01* dtừ]\n- (thực vật) giống cây mùi tàu
eryngo [01/i'riηgou/]	[01* dtừ]\n- (thực vật) cây mùi tàu
