relapse [01/ri'læps/]	[01* dtừ]\n- sự trở lại, sự lại rơi vào (một tình trạng nào đó)\n- sự phạm lại\n- (y) sự phát lại; sự phải lại (bệnh gì)\n[01* nđtừ]\n- trở lại, lại rơi vào (một tình trạng nào đó)\n[02= to relapse into prverty] lại rơi vào tình trạng nghèo khổ\n[02= the room relapses into silence] căn phòng trở lại yên tĩnh\n- phạm lại\n[02= to relapse into crime] phạm lại tội ác\n- (y) phải lại (bệnh gì) 
relapsing fever [01/ri'læpsiη'fi:və/]	[01* dtừ]\n- (y) bệnh sốt hồi quy
relate [01/ri'leit/]	[01* đtừ]\n- kể lại, thuật lại\n[02= to relate a story] kể lại một câu chuyện\n- liên hệ, liên kết\n[02= we cannot relate these phenomena with anything we know] chúng tôi không thể liên hệ những hiện tượng này với những cái chúng tôi biết\n- có quan hệ, có liên quan\n[02= this letter relates to business] lá thư này có liên quan đến công việc\n- (dạng bị động) có bà con thân thuộc với, có quan hệ họ hàng với\n[02= he is related to me] anh ta là bà con thân thuộc với tôi\n[02= they are related by blood] họ có họ hàng với nhau
related [01/ri'leitd/]	[01* ttừ]\n- có liên quan, có quan hệ với ai/ cái gì\n- có họ với (cùng một họ, cùng một tầng lớp) 
relatedness [01/ri'leitdnis/]	[01* dtừ]\n- sự có họ hàng, bà con thân thuộc
relater [01/ri'leitə/]	[01* dtừ]\n- người kể chuyện, người kể lại
relation [01/ri'lei∫n/]	[01* dtừ]\n- sự kể lại, sự thuật lại; chuyện kể lại\n- sự liên lạc, mối quan hệ, mối tương quan, mối liên hệ\n[02= the relations of production] quan hệ sản xuất\n[02= the relation between knowledge and practice] mối quan hệ trí thức và thực hành\n- (số nhiều) sự giao thiệp\n[02= to have business relations somebody] có giao thiệp buôn bán với ai\n[02= to enter into relations with someone] giao thiệp với ai\n- người bà con, họ hàng, thân thuộc\n[02= he is a relation to me] anh ta là người bà con của tôi\n[02= relation by (on) the father's side] người bà con bên nội\n- (pháp lý) sự đưa đơn lên chưởng lý
relational [01/ri'lei∫nəl/]	[01* ttừ]\n- liên quan; liên hệ\n- thân thuộc; hôn nhân\n- có tính chất quan hệ, có biểu thị quan hệ
relationship [01/ri'lei∫n∫ip/]	[01* dtừ]\n- mối quan hệ, mối liên hệ\n[02= the relationship between the socialist countries is based on proletarian internationalism] quan hệ giữa các nước xã hội chủ nghĩa dựa trên cơ sở chủ nghĩa quốc tế vô sản\n- sự giao thiệp\n[02= to be in relationship with someone] đi lại giao thiệp với ai\n- tình thân thuộc, tình họ hàng\n[02= the relationship by blood] tình họ hàng ruột thịt
relative [01/'relətiv/]	[01* ttừ]\n- có kiên quan\n[02= relative evidence] bằng chứng liên quan\n[02= to give facts relative to the matter] đưa ra những sự việc liên quan đến vấn đề\n- cân xứng với, cân đối vơi, tuỳ theo\n[02= supply is relative to demand] số cung cân xứng với số cầu\n[02= beauty is relative to the beholder's eyes] vẻ đẹp là tuỳ theo ở mắt của người nhìn\n- (ngôn) quan hệ\n[02= relative pronoun] đại từ quan hệ\n- tương đối\n[01* dtừ]\n- bà con thân thuộc, người có họ\n[02= a remote relative] người bà con xa, người có họ xa\n- (ngôn) đại từ quan hệ ((cũng) [03relative pronoun] ) 
relatively [01/'relətivli/]	[01* phtừ]\n- có liên quan, có quan hệ với\n- tương đối\n[02= to be relatively happy] tương đối sung sướng
relativism [01/'relətivizəm/]	[01* dtừ]\n- (triết học) thuyết tương đối
