sackful [01/'sækful/]	như [03régime]
sack-holder [01/'sækhouldə/]	[01* dtừ]\n- miệng bao\n- cửa nạp vào túi (máy xay bột) 
sacking [01/'sækiη/]	[01* dtừ]\n- vải làm bao tải
sackless [01/'sæklis/]	[01* ttừ]\n- vô tội\n- vô hại; không gây trở ngại\n- nhút nhát
sack-race [01/'sæk'reis/]	[01* dtừ]\n- (thể thao) cuộc chạy đua buộc chân trong bị (các đấu thủ cho chân vào bị, buộc lại rồi nhảy dần tới đích) 
sacque [01/'sæk/]	[01* dtừ]\n- rượu nho trắng
sacr-	- hình thái ghép\n- thiêng liêng\n- sacral\n- thiêng liêng\n- xương cùng\n[02= sacrospinal] thuộc xương cùng-gai sống
sacra [01/'seikrə/]	như [03sacrum]
sacral [01/'seikrl/]	[01* ttừ]\n- (phẫu)(thuộc) xương cùng\n- (thuộc) tế lễ; dùng vào tế lễ
sacrament [01/'sækrəmənt/]	[01* dtừ]\n- (tôn giáo) lễ phước, lễ ban phước\n- vật thiêng\n- lời thề, lời nguyền\n[01* ngđtừ, (thường) động tính từ quá khứ]\n- thề, nguyền
sacramental [01/,sækrə'mentl/]	[01* ttừ]\n- (thuộc) lễ phước\n- rất coi trọng lễ phước\n[01* dtừ]\n- (tôn giáo) lễ phước
sacramentalism [01/sækrə'mentəlizm/]	[01* dtừ]\n- thuyết tin vào hiệu lực các thánh lễ
sacramentalist [01/sækrə'mentəlist/]	[01* dtừ]\n- người theo sacramentalism
sacramentarian [01/sækrəmen'teəriən/]	[01* dtừ]\n- người tin rượu thánh, bánh thánh chính là máu thịt của chúa Jesu\n[01* ttừ]\n- thuộc niềm tin rượu thánh, bánh thánh chính là máu thịt của chúa Jesu
sacramentarianism [01/sækrəmen'teəriənizm/]	[01* dtừ]\n- thuyết cho rượu thánh, bánh thánh là máu thịt của chúa Jesu
sacramentary [01/,sækrə'mentəri/]	[01* ttừ]\n- thuộc thánh lễ\n[01* dtừ]\n- sách về các nghi lễ thánh
sacraria [01/sæ'kreəriə/]	[01* dtừ] s/n\n- xem [03sacrarium] 
