rubberise	395-34115-B
rubberize	395-34175-B
rubberneck	395-34222-B
rubbery	395-34540-B
rubbing	395-34671-B,57-12835-S,57-13676-S
rubbish	395-34759-B
rubbish bin	395-35216-B
rubbish dump	395-35265-B
rubbish heap	395-35350-B
rubbish shoot	395-35412-B
rubbishy	395-35481-B
rubble	395-35571-B
rubble work	395-35730-B
rubbly	395-35825-B
rube	395-35946-B
rubefacient	395-36023-B
rubefaction	395-36100-B
rubefy	395-36174-B
rubella	395-36254-B
rubeola	395-36317-B
rubescent	395-36400-B
rubiaceae	395-36472-B
rubiaceous	395-36545-B
rubican	395-36631-B
rubicelle	395-36708-B
rubicon	395-36782-B
rubicund	395-37046-B
rubicundity	395-37148-B
rubidium	395-37245-B
rubify	395-37302-B
rubiginous	395-37341-B
rubikcube	395-37408-B
rubious	395-37469-B
ruble	395-37540-B
rubric	395-37607-B
rubricate	396-0-B
rubrician	396-121-B
rubricist	396-211-B
ruby	396-325-B
ruby glass	396-652-B
ruby spinel	396-721-B
ruby wedding	396-816-B
ruc	396-929-B
rucervus	396-1051-B
ruche	396-1123-B
ruched	396-1210-B
ruching	396-1306-B
ruck	396-1395-B
ruckle	396-1663-B
rucksack	396-2007-B
ruckus	396-2059-B
ruction	396-2145-B
rudbeckia	396-2347-B
rudd	396-2435-B
rudder	396-2496-B
rudder post	396-2802-B
rudder stock	396-2874-B
rudderfish	396-2660-B
rudderless	396-2737-B
ruddily	396-2934-B
ruddiness	396-3078-B
ruddle	396-3194-B
ruddock	396-3230-B
ruddy	396-3278-B
rude	396-3646-B
rudely	396-4276-B
rudeness	396-4635-B
ruderal	396-4872-B
rudiment	396-4986-B
rudimental	396-5290-B
rudimentary	396-5342-B
rue	396-5596-B
rue raddy	396-6391-B
ruefescence	396-5760-B
ruefescent	396-5830-B
rueful	396-5887-B
ruefully	396-6068-B
ruefulness	396-6210-B
ruff	396-6498-B
ruffed	396-6804-B
ruffian	396-6868-B
ruffianish	396-6957-B
ruffianism	396-7036-B
ruffle	396-7134-B
ruffler	396-8378-B
rufous	396-8548-B
rug	396-8612-B,217-13748-S,316-19632-S,356-9765-S,403-5782-S,476-3876-S
ruga	396-8762-B
rugae	396-8822-B
rugal	396-8876-B
rugate	396-8932-B
rugby	396-8984-B
rugby football	396-9085-B
rugby league	396-9169-B
