rummage [01/'rʌmidʒ/]	[01* dtừ]\n- sự lục lọi, sự lục soát (nhà cửa, tàu buôn, ngăn kéo, hồ sơ...)\n- đồ lục soát thấy; đồ lục lọi thấy; đồ linh tinh\n[02= rummage sale] việc bán đồ linh tinh (để lấy tiền giúp các hội thiện) ; sự bán những đồ không ai nhận do nhân viên hải quan lục soát thấy trên tàu\n[01* đtừ]\n- lục lọi, lục soát; tìm kiếm\n[02= to rummage a ship from top to bottom] lục soát khắp nơi trên chiếc tàu\n[02= to rummage for a key in one's pockets] lục các túi tìm chiếc chìa khoá\n- (+[04 out, up]) lục ra được, tìm ra được, moi ra được (cái gì...)\n- lục lung tung, lục bừa bãi
rummer [01/'rʌmə/]	[01* dtừ]\n- cốc lớn, cốc vại
rumminess [01/'rʌminis/]	[01* dtừ]\n- (lóng) tính kỳ quặc, tính kỳ dị\n- tính nguy hiểm, tính khó chơi
rummy [01/'rʌmi/]	[01* dtừ]\n- (như) [03rum]\n[01* ttừ]\n- lối chơi bài rumi (chơi tay đôi) 
rumness [01/'rʌmnis/]	như [03rumminess]
rumor [01/'ru:mə/]	[01* dtừ]\n- (Mỹ)(như) [03rumour] 
rumored [01/'ru:məd/]	[01* ttừ]\n- theo lời đồn; đồn đại
rumormonger [01/'ru:mə,mʌngə/]	[01* dtừ]\n- người phao tin đồn nhảm
rumormongering [01/'ru:mə,mʌngəriη/]	[01* dtừ]\n- (Mỹ) sự phao tin đồn
rumour [01/'ru:mə/]	[01* dtừ] ((Mỹ)(như) [03rumor)]\n- tiếng đồn, tin đồn\n[02= has it (goes) that] người ta đồn rằng\n[02= rumours are about (afloat)] đây đó có tiếng đồn (về việc gì)\n[01* ngđtừ]\n- đồn, đồn đại\n[02= it is rumoured that] người ta đồn rằng
rumoured [01/'ru:məd/]	[01* dtừ]\n- theo lời đồn\n[02= the rumoured disater] cái tai hoạ theo lời đồn
rump [01/rʌmp/]	[01* dtừ]\n- mông đít (của thú)\n- phao câu (của chim)\n- nuốm
rumple [01/'rʌmpl/]	[01* ngđtừ]\n- làm nhàu, làm nhăn; (quần áo, vải) ; làm rối (tóc) 
rump-steak [01/'rʌmp'steik/]	[01* dtừ]\n- thịt mông bò
rumpus [01/'rʌmpəs/]	[01* dtừ]\n- (lóng) sự om sòm, sự huyên náo\n[02= to kick up a rumpus] làm om lên\n- cuộc cãi lộn\n[02= to have a rumpus with someone] cãi lộn với ai
rumpus room [01/'rʌmpəs'rum/]	[01* dtừ]\n- phòng giải trí (của tư nhân, thường ở tầng hầm) 
rum-runner [01/'rʌm'rʌnə/]	[01* dtừ]\n- (tục) người buôn rượu lậu\n- tàu buôn rượu lậu
rum-tum [01/'rʌm'tʌm/]	[01* dtừ]\n- thuyền nhẹ một mái chèo (trên sông Tu-mi-sơ) 
