bumbling [01/bʌmbliη/]	như [03cack-handed]
bumbo [01/'bʌmbou/]	[01* dtừ]\n- rượu pân ướp lạnh
bum-boat [01/'bʌmbout/]	[01* dtừ]\n- (hàng hải) tàu tiếp phẩm
bum-card [01/'bʌmkɑ:d/]	[01* dtừ]\n- quân bài có dấu ở đằng sau (để gian lận) 
bumf [01/bʌmf/]	[01* dtừ]\n- (lóng) giấy vệ sinh, giấy chùi đít\n- giấy tờ, tài liệu
bumfreezer [01/'bʌm, fri:zə/]	[01* dtừ]\n- áo chẽn chật
bummalo [01/'bʌməlou/]	[01* dtừ] s/n [02bummalo]\n- con cá đầu rồng (cá nhỏ) 
bummaree [01/,bʌmə'ri:/]	[01* dtừ]\n- người môi giới (ở chợ cá Bin-linh-ghết, Luân đôn)\n- người khuân vác (ở chợ bán thịt Luân đôn) 
bummer [01/'bʌmə/]	[01* dtừ]\n- (Mỹ) người vô công rồi nghề; người làm biếng
bump [01/bʌmp/]	[01* dtừ]\n- tiếng vạc kêu\n[01* nđtừ]\n- kêu (vạc) ; kêu như vạc\n[01* dtừ]\n- sự va mạnh, sự đụng mạnh; cú va mạnh, cú đụng mạnh\n- chỗ sưng bướu, chỗ sưng u lên (vì bị va mạnh)\n- cái bướu (biểu thị tài năng) ; tài năng, năng lực, khiếu\n[02= the bump of mathematics] khiếu về toán\n- (thể thao) sự đụng vào đuôi chiếc ca nô chạy trước (trong cuộc đua rượt bắt)\n- (hàng không) lỗ hổng không khí\n- (hàng không) sự nảy bật (của máy bay)\n[01* nđtừ]\n- đâm vào, đâm sầm vào\n[02= to bump against the door] đâm sầm vào cửa\n[02= to bump into someone] đâm sầm vào ai\n- xóc nảy lên, nảy xuống\n[02= the lorry bumped along the rought mountain road] chiếc xe tải xóc nảy lên trên con đường núi gồ ghề\n[01* ngđtừ]\n- va, đụng\n[02= to bump one's head against the door] va đầu vào cửa\n- ẩy, vứt xuống\n- vọt lên, bật mạnh lên (quả bóng)\n- đánh đòn lưng tôm (nắm tay chân rồi quật đít vào tường, xuống sàn)\n- (thể thao) đụng phải đuôi (ca nô chạy trước trong cuộc đua rượt bắt)\n- (Mỹ),(qsự),(lóng) bắn phá\n- (lóng) cho ra rìa, tống cổ ra\n[04! to bump off]\n- (Mỹ),(lóng) khử đi, giết (ai)\n[01* phtừ]\n- va đánh rầm một cái\n[02= to run bump against the door] đâm đầu vào cửa đánh rầm một cái\n- đột nhiên
bumper [01/'bʌmpə/]	[01* dtừ]\n- người va mạnh\n- cốc rượu đầy tràn\n- vụ mùa bội thu ((cũng) [02bumper crop, bumper harvest] )\n- rạp hát đóng kín\n- cái hãm xung, cái đỡ va (ô tô...) 
bumper-to-bumper	- thành ngữ bumper\n[02= bumper-to-bumper] theo hàng dọc, nối đuôi nhau\n[02= all the cars in this garage must be parked bumper-to-bumper] tất cả các xe trong gara này phải đậu nối đuôi nhau
bumph [01/bʌmf/]	[01* dtừ]\n- như [03bumf]
bumpily [01/'bʌmpili/]	[01* phtừ]\n- mấp mô, gập ghềnh
bumpiness [01/'bʌmpinis/]	[01* dtừ]\n- tính mấp mô, tính gập ghềnh
bumpkin [01/'bʌmpkin/]	[01* dtừ]\n- người vụng về, người thộn
bumptious [01/'bʌmp∫əs/]	[01* ttừ]\n- tự phụ, tự mãn
bumptiously [01/'bʌmp∫əsli/]	[01* phtừ]\n- kiêu hãnh, tự mãn
bumptiousness [01/'bʌmp∫əsnis/]	[01* dtừ]\n- tính tự phụ, tính tự mãn
bumpy [01/'bʌmpi/]	[01* ttừ]\n- gập ghềnh, mấp mô, xóc (đường)\n- (hàng không) nhiều lỗ hổng không khí
bun [01/bʌn/]	[01* dtừ]\n- bánh bao nhân nho; bánh sữa nhỏ\n- búi tóc nhỏ\n[04! to have (get) a bun on]\n- ngà ngà say\n[04! to take the bun]\n- (tục) chiếm giải nhất; hơn tất cả mọi người\n[01* dtừ]\n- chú thỏ; chú sóc (nhân cách hoá trong truyện của thiếu nhi) 
buna [01/'bu:nə/]	[01* dtừ]\n- buna một loại cao su nhân tạo
bunch [01/bʌnt∫/]	[01* dtừ]\n- búi, chùm, bó, cụm, buồng\n[02= a bunch of grapes] một chùm nho\n[02= a bunch of flowers] một bó hoa\n[02= a bunch of keys] một chùm chìa khoá\n[02= a bunch of bananas] một buồng chuối\n[02= a bunch of fives] một bàn tay\n- (Mỹ) đàn, bầy (thú)\n- (lóng) bọn, lũ\n[01* nđtừ]\n- thành chùm, thành bó, thành cụm\n- chụm lại với nhau\n[01* ngđtừ]\n- làm thành chùm, làm thành bó, bó lại\n- xếp nếp (quần áo)\n- (qsự) không giữ được khoảng cách
buncher	- (kỹ) hốc tụ nhóm; bộ két chùm
bunchiness	- xem [03bunch] 
bunching	- (kỹ) tụ nhóm (d) 
bunching factor	- (kỹ) hệ số tụ nhóm
bunching voltage	- (kỹ) điện áp tụ nhóm
bunchy	như [03bunchiness]
bunco [01/'bʌηkou/]	[01* dtừ]\n- (Mỹ),(lóng) sự lừa bịp, sự lừa đảo, sự gian lận\n[01* ngđtừ]\n- (Mỹ),(lóng) lừa bịp, lừa đảo
buncombe [01/'bʌηkəm/]	như [03bunkum]
bunco-steerer [01/'bʌηkou,stiərə/]	[01* dtừ]\n- (Mỹ),(lóng) kẻ lừa bịp, kẻ lừa đảo, kẻ gian lận
bund [01/bʌnd/]	[01* dtừ]\n- Anh, Ân đê, đập
bunder [01/'bʌndə/]	[01* dtừ]\n- Anh, Ân bến cảng, ke
bundist	- xem [03bund] 
