dung beetle	142-15301-B
dung cart	142-15358-B
dung fly	142-15567-B
dung fork	142-15620-B
dung heap	142-15680-B
dung yard	142-15910-B
dungaree	142-15002-B
dungarees	142-15189-B
dungeon	142-15416-B
dunghill	142-15737-B
dungy	142-15851-B
dunk	142-15969-B
dunnage	142-16049-B
dunner	142-16196-B
dunniness	142-16264-B
dunnock	142-16327-B
duo	142-16373-B
duodecagon	142-16430-B
duodecahedron	142-16468-B
duodecillion	142-16509-B
duodecimal	142-16619-B
duodecimals	142-16714-B
duodecimo	142-16800-B
duodenal	142-16937-B
duodenary	142-17049-B
duodenitis	142-17146-B
duodenum	142-17217-B
duologue	142-17283-B
duopoly	142-17356-B
duotone	142-17471-B
dupability	142-17525-B
dupable	142-17627-B
dupe	142-17709-B
dupeable	142-17799-B
duper	142-17842-B,454-2508-S
dupery	142-17907-B
dupion	142-17975-B
duple	142-18026-B
duplet	142-18181-B
duplex	142-18217-B,192-18690-S
duplex apartment	142-18456-B
duplex channel	142-18494-B
duplex communication	142-18567-B
duplex connection	142-18630-B
duplex house	142-18688-B
duplex repeater	142-18719-B
duplex system	142-18777-B,128-870-S
