retroocular [01/retrou'ɔkjulə/]	[01* ttừ]\n- sau mắt
retrooperative [01/'retrou,ɔpərətiv/]	[01* ttừ]\n- có tác dụng ngày trước
retropack	[01* dtừ]\n- hệ thống tên lửa đẩy lùi (trên máy bay) 
retroperitoneal [01/retrouperi'touniəl/]	[01* ttừ]\n- sau màng bụng
retropharingeal [01/retrou,færin'dʒi:əl/]	[01* ttừ]\n- sau hầu
retroposition [01/retroupə'zi∫n/]	[01* dtừ]\n- vị trí sau/ngược
retropubic [01/retrou'pjubik/]	[01* ttừ]\n- sau mu
retro-rocket [01/'retrourɔkit/]	[01* dtừ]\n- tên lửa đẩy lùi (để làm giảm tốc độ của con tàu vũ trụ khi quay về quyển khí của trái đất) 
retrorse [01/ri'trɔ:s/]	[01* ttừ]\n- (sinh vật) ngược, lộn ngược
retrosection	- cắt
retrospect [01/'retrəspekt/]	[01* dtừ]\n- sự hồi tưởng quá khứ, sự nhìn lại dĩ vãng\n[02= in (the) retrospect] nhìn lại (cái gì)\n- (hiếm) sự nhìn về phía sau\n- (pháp lý),(hiếm) hiệu lực trở về trước
retrospection [01/,retrə'spek∫n/]	[01* dtừ]\n- (như) [03retrospect]\n[02= to indulge in dreamy retrospections] mơ màng nhớ lại quá khứ
retrospective [01/,retrə'spektiv/]	[01* ttừ]\n- hồi tưởng quá khứ, nhìn lại dĩ vãng\n- (pháp lý) có hiệu lực trở về trước (đạo luật)\n- ngó lại sau, nhìn lại sau (cái nhìn)\n- ở đằng sau (phong cảnh) 
retrospectively [01/,retrə'spektivli/]	[01* phtừ]\n- hồi tưởng quá khứ, nhìn lại dự vãng, nhìn lại quá khứ\n- có hiệu lực trở về trước, áp dụng cho cả quá khứ lẫn tương lai (về luật pháp, sự thanh toán)\n- ngó lại sau, nhìn lại sau (cái nhìn)\n- ở đằng sau (phong cảnh) 
retroussé [01/rə'tru:sei/]	[01* dtừ]\n- hếch (mũi) 
retroversion [01/,retrou'və:∫n/]	[01* dtừ]\n- (y) sự ngả ra sau (dạ con) 
retroverted [01/,retrou'və:tid/]	[01* ttừ]\n- (y) ngả ra sau (dạ con) 
retry [01/'ri:'trai/]	[01* ngđtừ]\n- (pháp lý) xử lại
retsina [01/ret'si:nə/]	[01* dtừ]\n- rượu vang Hy Lạp có hương vị của nhựa cây
rettery [01/'ritəri/]	[01* dtừ]\n- chỗ giầm đay gai
retting [01/'retiη/]	[01* dtừ]\n- sự giầm đay gai
retubing [01/ri:'tju:biη/]	[01* dtừ]\n- sự thay ống
