soft-finned [01/'sɔlt,find/]	[01* ttừ]\n- có vây mềm
soft-footed [01/,sɔft'futid/]	[01* ttừ]\n- đi nhẹ nhàng (người) 
soft-fruited [01/,sɔft'fru:tid/]	[01* ttừ]\n- có quả mềm
soft-furnishing [01/,sɔft'fə:ni∫iη/]	[01* dtừ & số nhiều]\n- vật đệm bàn ghế giường
soft-goods [01/'sɔft'gudz/]	[01* dtừ & số nhiều]\n- hàng tơ lụa
soft-hail [01/'sɔlt'heil/]	[01* dtừ]\n- mưa tuyết có hạt
softhead [01/'sɔfthed/]	[01* dtừ]\n- anh chàng khờ khạo, anh chàng ngờ nghệch
soft-headed [01/'sɔft'hedid/]	[01* ttừ]\n- khờ khạo, ngờ nghệch
soft-hearted [01/'sɔft'hɑ:tid/]	[01* ttừ]\n- dễ thương cảm, đa cảm; từ tâm
soft-heartedness [01/'sɔft'hɑ:tidnis/]	[01* dtừ]\n- sự đa cảm; tính đa cảm, tính dễ mềm lòng; sự từ tâm
softie [01/'sɔfti/]	như [03softy]
softish [01/'sɔfti∫/]	[01* ttừ]\n- hơi mềm\n- hơi dịu\n- dễ, không khó lắm\n[02= a softish job] việc dễ không; việc ngon ơ\n- hơi khờ khạo, hơi ngờ nghệch
soft-land [01/,sɔft'lænd/]	- hạ cánh nhẹ nhàng (xuống một thiên thể) 
soft-lander [01/,sɔft'lændə/]	[01* dtừ]\n- xem [03soft-land] 
soft-leaved [01/,sɔlt'li:vd/]	[01* ttừ]\n- (thực vật) có lá mềm
softly [01/'sɔftli/]	[01* phtừ]\n- một cách dịu dàng, một cách êm ái
soft-money [01/'sɔft'mʌni/]	như [03paper-money]
softness [01/'sɔftnis/]	[01* dtừ]\n- tính mềm dẻo\n- tính dịu dàng\n- tính nhu nhược, tính uỷ mị, tính ẻo lả\n- sự khờ khạo
soft-pedal [01/soft pedal/]	[01* đtừ]\n-(âm nhạc) ấn bàn đạp; (thông tục) làm dịu bớt, làm nhẹ bớt; làm cho bớt cường điệu
soft-soap [01/'sɔft'soup/]	[01* dtừ]\n- xà phòng mềm\n- lời nịnh bợ\n[01* ngđtừ]\n- thuyết phục (ai) bằng nịnh hót
soft-soaper [01/,sɔft'soupə/]	[01* dtừ]\n- xem [03soft-soaper] 
