side-swipe [01/'said'swaip/]	[01* dtừ]\n- (Mỹ) đòn đánh gián tiếp bên cạnh cái gì\n- (Mỹ)(tục) sự nói cạnh
side-track [01/'saidtræk/]	[01* ngđtừ]\n- đánh lạc hướng, đánh trống lảng, đi sai đường
side-view [01/'said'vju:/]	[01* dtừ]\n- hình trông nghiêng
sidewalk [01/'saidwɔ:k/]	[01* dtừ]\n- vỉa hè, lề đường
sideward [01/'saidwəd/]	[01* ttừ]\n- về một bên; về một phía\n[02= sideward motion] sự di chuyển về một phía
sidewards [01/'saidwədz/]	[01* phtừ]\n- về một bên; về một phía\n[02= to move sidewards] di chuyền về một phía
sideways [01/'saidweiz/]	như [03sidewise]
side-wheeler [01/'said'wi:lə/]	[01* dtừ]\n- (Mỹ) tàu guồng
side-whiskers [01/'said'wiskəz/]	như [03sideburns]
side-wind [01/'said'waind/]	[01* dtừ]\n- gió tạt ngang\n- ảnh hưởng gián tiếp, nguồn giáp tiếp\n[02= the announcement reached us by a side-wind] lời công bố đó đến tai chúng tôi do một nguồn gián tiếp
side-winder [01/'said'waində/]	[01* dtừ]\n- (động vật) rắn chuông\n- (tục) cú đánh móc lên
sidewinpe	- (Mỹ) cú đánh vào bên hông\n- (khẩu ngữ) lời nói cạnh
