as [01/æz, əz/]	[01* phtừ]\n- như\n[02= as you know] như anh đã biết\n[02= some People's Democracies as Vietnam, Korea...] một số nước dân chủ nhân dân như Việt Nam, Triều Tiên...\n[02= late as usual] muộn như thường lệ\n- là, với tư cách là\n[02= I speak to you as a friend] tôi nói với anh với tư cách là một người bạn\n- cũng, bằng\n[02= he is as old as you] anh ta cũng già bằng anh, anh ta bằng tuổi anh\n[04! as far as]\n- xa tận, cho tận đến\n[02= to go far as the station] đi đến tận nhà ga\n- đến chừng mức mà\n[02= far as I know] đến chừng mức mà tôi biết, theo tất cả những điều mà tôi biết\n[04! as far back as]\n- lui tận về\n[02= as far back as two years ago] lui về cách đây hai năm; cách đây hai năm\n[04! as far; as to]\n- về phía, về phần\n[02= as for me] về phần tôi\n[04! as good as]\n- xem [03good]\n[04! as long as]\n- xem [03as much as]\n- cũng chừng này, cũng bằng này\n[02= you can take as much as you like] anh thích bao nhiêu thì có thể cứ lấy chừng nấy\n[04! as much]\n- cũng vậy\n[02= I thought as much] tôi cũng nghĩ như vậy\n[04! as well]\n- xem [03well]\n[04! as well as]\n- xem [03well]\n[04! as yet]\n- xem [03yet]\n[01* liên từ]\n- lúc khi, trong khi mà; đúng lúc mà ((cũng) [03just as] )\n[02= he came in as I was speaking] khi tôi đang nói thì hắn vào\n- vì, bởi vì\n[02= as it was raining hard, we could not start] vì trời mưa to chúng tôi không thể khởi hành được\n- để, cốt để\n[02= he so arranged matters as to suit everyone] anh ta thu xếp mọi việc cốt để làm cho hợp với tất cả mọi người\n[02= be so kind (good) as to let me know...] anh hãy vui lòng cho tôi biết...\n- tuy rằng, dù rằng\n[02= tired as she was did not leave her task undone] tuy mệt thật đấy cô ta cũng không bỏ công việc\n[04! as if]\n- như thế, y như thế\n[04! as it were]\n- có thể là như vậy, có thể cho là như vậy\n[02= he is not equal to the task, as it were] hắn không xứng với nhiệm vụ, có thể cho là như vậy\n[04! as though]\n- xem [03though]\n[01* đại từ]\n- mà, người mà, cái mà...; như\n[02= he is the same man as I met yesterday] ông ta đúng là người mà hôm qua tôi gặp\n[02= such a genius as Marx] một thiên tài như Mác\n- điều đó, cái đó, cái ấy\n[02= he was a foreigner, as they perceived from his accent] ông ta là một người nước ngoài, người ta nhận thấy điều đó ở giọng nói của ông ta\n[01* dtừ] s/n [03asses]\n- đồng át (tiền La mã) 
asa [01/,ei es 'ei/]	[01* (vt)]\n- Cơ quan Tiêu chuẩn Quảng cáo ([03Advertising Standards Agency])\n- Hội Tiêu chuẩn Mỹ ([03American Standards Association]) 
asafoetida [01/,æsə'fetidə/]	[01* dtừ]\n- (thực vật) cây a nguỳ\n- (dược học) a nguỳ
asap [01/,ei es ei 'pi:/]	[01* (vt)]\n- càng sớm càng tốt ([03As soon as possible]) 
asbestine [01/æz'bestin/]	[01* ttừ]\n- bằng amiăng; giống amiăng\n- không đốt cháy được
asbestos [01/æs'bestɔs/]	[01* dtừ]\n- (khoáng) miăng
asbestosis [01/,æsbes'tousis/]	[01* dtừ]\n- bệnh phổi phát sinh do hít phải hạt amiăng
asbestotic	- xem [03asbestosis] 
ascariasis [01/æskə'raisis/]	[01* dtừ] s/n [02ascariases]\n- bệnh giun đũa
ascarid [01/'æskərid/]	[01* dtừ]\n- (y) giun đũa
