derring-do [01/'deriη'du:/]	[01* dtừ]\n- hành động gan dạ, hành động táo bạo\n- sự gan dạ, sự táo bạo
derringer [01/'derindʒə/]	[01* dtừ]\n- súng lục đeringgiơ, súng lục ngắn
derris [01/'deris/]	[01* dtừ]\n- (thực vật) giống cây dây mật\n- (thuộc) dây mật (chế từ cây dây mật, dùng trừ sâu) 
derry [01/'deri/]	[01* dtừ]\n- thành kiến; điều không thích
derv [01/də:v/]	[01* (vt)]\n- nhiên liệu dùng cho động cơ điêden ([03diesel-engine road vehicle]) 
dervish [01/'də:vi∫/]	[01* dtừ]\n- thầy tu đạo Hồi
dervived	- dẫn suất
des [01/,di: i: 'es:/]	[01* (vt)]\n- Bộ Giáo dục và Khoa học Anh quốc ([03Department of Education and Science]) 
desalinate [01/,di:'sælineit/]	[01* đtừ]\n- khử muối
desalination [01/di:,sæli'nei∫n/]	[01* dtừ]\n- sự khử muối
desalinator	- xem [03desalinate] 
desalt [01/di:'sɔ:lt/]	[01* đtừ]\n- loại muối, khử muối
descale [01/di'skeil/]	[01* đtừ]\n- cạo sạch cặn
descant [01/'deskænt/]	[01* dtừ]\n- bài bình luận dài, bài bình luận dài dòng\n- (thơ ca) bài ca, khúc ca\n- (âm nhạc) giọng trẻ cao\n[01* nđtừ]\n- bàn dài dòng\n[02= to descant upon a subject] bàn dài dòng một vấn đề\n- ca hát
descanter	- xem [03descant] 
descend [01/di'send/]	[01* ngđtừ]\n- xuống (cầu thang...)\n[01* nđtừ]\n- xuống, dốc xuống, rơi xuống, lăn xuống, đi xuống, tụt xuống...\n- bắt nguồn từ, xuất thân từ\n[02= man descends from apes] con người bắt nguồn từ loài vượn\n[02= to descend from a peasant family] xuất thân từ một gia đình nông dân\n- truyền (từ đời cha xuống đời con, từ đời này sang đời khác)\n- (+[04 upon]) tấn công bất ngờ, đánh bất ngờ\n- hạ mình, hạ cố\n- (bóng) sa sút, xuống dốc, sa đoạ; tự làm mình thấp hèn, tự hạ mình
descendable [01/di'sendəbl/]	[01* ttừ]\n- (hiếm),(như) [03descendible] 
descendant [01/di'sendənt/]	[01* dtừ]\n- con cháu; người nối dõi
descended [01/di'sendid/]	[01* ttừ]\n- có nguồn gốc từ
descender	- phần thấp của ký tự
descendible [01/di'sendəbl/]	[01* ttừ]\n- có thể truyền từ đời này sang đời khác (của cải, chức tước...) 
descending [01/di'sendiη/]	[01* ttừ]\n- đi xuống
descent [01/di'sent/]	[01* dtừ]\n- sự xuống\n[02= to make a parachute descent] nhảy dù xuống\n- sự hạ thấp xuống (độ nhiệt...)\n- sự dốc xuống; con đường dốc\n- nguồn gốc, dòng dõi; thế hệ, đời\n[02= to be of good descents] nhiều thế hệ liên tiếp\n- sự truyền lại; sự để lại (tài sản...)\n- (qsự) cuộc tấn công bất ngờ, cuộc đột kích (từ đường biển vào)\n- sự sa sút, sự suy sụp, sự xuống dốc
descrambler	- (kỹ) bộ hoàn hiệu, bộ giải nhiễu tín hiệu
describable [01/dis'kraibəbl/]	[01* ttừ]\n- có thể tả, diễn tả được, mô tả được, miêu tả được
