unkneaded [01/ʌn'ni:did/]	[01* ttừ]\n- không nhào trộn (bột, đất sét...) 
unknight [01/ʌn'nait/]	[01* ngđtừ]\n- tước danh hiệu hiệp sĩ
unknightliness [01/ʌn'naitlinis/]	[01* dtừ]\n- tính không thượng võ; tính không nghĩa hiệp, tính không hào hiệp
unknightly [01/ʌn'naitli/]	[01* ttừ]\n- không có tinh thần hiệp sĩ, không thượng võ; không nghĩa hiệp, không hào hiệp
unknit [01/ʌn'nit/]	[01* ngđtừ]\n- tháo ra (áo đan) 
unknot [01/ʌn'nɔt/]	[01* ngđtừ]\n- mở nút, gỡ mối, tháo ra
unknotted	- (tô pô) không nút
unknowability [01/,ʌn,nouə'biləti/]	như [03unknowableness]
unknowable [01/ʌn'nouəbl/]	[01* ttừ]\n- không thể biết được\n- không thể nhận thức được
unknowableness [01/ʌn'nouəblnis/]	[01* dtừ]\n- tính không thể biết được\n- tính không thể nhận thức được
unknowably	- xem [03unknowable] 
unknowing [01/ʌn'nouiη/]	[01* ttừ]\n- không hay, không biết\n- không có ý thức
unknowingly	- xem [03unknowing] 
unknown [01/ʌn'noun/]	[01* ttừ]\n- không biết, chưa từng ai biết, lạ\n[02= unknown country] xứ lạ\n- chưa có tiếng; vô danh\n[02= an unknown author] một tác giả vô danh\n[02= the Unknown Warrior (Soldier)] chiến sĩ vô danh\n[01* dtừ]\n- điều chưa biết\n- (toán) ẩn số\n[02= equation of two unknowns] phương trình hai ẩn số
unlabelled [01/ʌn'leibld/]	[01* ttừ]\n- không có nhãn, không dán nhãn
unlaboured [01/ʌn'leibəd/]	[01* ttừ]\n- thanh thoát, trôi chảy, lưu loát; tự nhiên, không gò ép (lối thành văn) 
unlace [01/ʌn'leis/]	[01* ngđtừ]\n- cởi dây, tháo dây (giày, áo...) 
unladderable [01/'ʌn'lædərəbl/]	[01* ttừ]\n- có nơ không tuột (bít tất) 
unlade [01/ʌn'leid/]	như [03unladen]
unladen [01/,ʌn'leidn/]	[01* ngđtừ] [02unladed; unladed, unladen]\n- dỡ hàng
unladylike [01/ʌn'leidilaik/]	[01* ttừ]\n- không xứng đáng với một bà quý phái; không có dáng quý phái
unlaid [01/ʌn'leid/]	[01* ngđtừ unlaid]\n- tháo (dây thừng) ra từng sợi
unlamented [01/,ʌnlə'mentid/]	[01* ttừ]\n- không ai thương xót, không ai luyến tiếc\n[02= to die unlamented] chết không ai luyến tiếc
