sutler [01/'sʌtlə/]	[01* dtừ]\n- (qsự) người bán hàng căng tin
sutra [01/'su:trə/]	[01* dtừ]\n- kinh (đạo Phật) 
suttee [01/'sʌti:/]	[01* dtừ]\n- người đàn bà tự thiêu chết theo chồng (Ân độ)\n- tục tự thiêu chết theo chồng
sutteeism [01/'sʌti:izəm/]	[01* dtừ]\n- tục tự thiêu chết theo chồng
sutural [01/'su:t∫ərəl/]	[01* ttừ]\n- (sinh vật)(thuộc) đường nối, (thuộc) đường ráp, (thuộc) đường khớp\n- (y)(thuộc) sự khâu (vết thương) ; (thuộc) đường khâu (vết thương) 
suturation [01/'su:t∫ə'rei∫n/]	[01* dtừ]\n- (y) sự khâu vết thương, sự khâu vết mổ
suture [01/'su:t∫ə/]	[01* dtừ]\n- (sinh vật) đường nối, đường ráp, đường khớp\n- (y) sự khâu; chỉ khâu; đường khâu (vết thương)\n[01* ngđtừ]\n- (y) khâu (vết thương, vết mổ...) 
sutured [01/'su:t∫əd/]	[01* ttừ]\n- đã khâu (vết thương) 
suzerain [01/'su:zərein/]	[01* dtừ]\n- tôn chủ, bá chủ\n- nước bá chủ
suzerainty [01/'su:zərənti/]	[01* dtừ]\n- quyền tôn chủ, quyền bá chủ
svarabhakti [01/,sfʌrə'bʌkti/]	[01* dtừ]\n- (ngôn ngữ) sự chêm một nguyên âm giữa (r) hay (l) với một phụ âm : thí dụ film đọc thành (fil&\n- 601;m) 
svedberg [01/'sfedbə:g/]	[01* dtừ]\n- Xvetbéc (đơn vị bằng 10 ự 13 giây) 
svelte [01/'svelt/]	[01* ttừ]\n- mảnh khảnh, mảnh dẻ (người) 
sveltely [01/'sveltli/]	[01* phtừ]\n- xem [03svelte] 
svelteness [01/'sveltnis/]	[01* dtừ]\n- sự mảnh dẻ; thanh mảnh (người) 
svid	- Một loại tiêu chuẩn đối với các hệ điều hành UNIX, do AT & T Bell Laboratories xây dựng theo đặt hàng của tập thể các khách mua, dựa trên cơ sở UNIX Version 5
sw [01/,es 'dʌblju:/]	[01* (vt)]\n- (rađio) sóng ngắn ([03short wave] )\n- Tây Nam ([03South West(ern)] ) 
swab [01/swɔb/]	như [03swob]
swabber [01/'swɔbə/]	như [03swobber]
swaddle [01/'swɔdl/]	[01* ngđtừ]\n- bọc bằng tã, quần bằng tã
swaddling clothes [01/'swɔdliη'klouđz/]	[01* dtừ s/n]\n- tã (để quấn em bé) ; thời kỳ còn bế ẵm; những mối hạn chế (tự do tư tưởng, tự do hành động) 
swaddling-bands [01/'swɔdliɳbændz/]	[01* dtừ]\n- lót, tã (để quấn em bé)\n- thời kỳ còn bế ẵm\n- những mối hạn chế (tự do tư tưởng, tự do hành động) 
swaddling-clothes [01/'swɔdliɳklouðz/]	[01* dtừ s/n]\n- lót, tã\n- thời kỳ còn bế ẵm\n- những mối hạn chế (tự do tư tưởng, tự do hành động) 
swadesha [01/svə'dei∫ə/]	[01* dtừ]\n- cuộc vận động độc lập của ấn Độ
swadeshi [01/swə'dei∫i/]	[01* dtừ]\n- phong trào bài trừ hàng ngoại (Ân độ) 
swadeshism [01/svə'dei∫izm/]	[01* dtừ]\n- chủ trương dùng hàng nội hoá (của ấn Độ) 
swag [01/swæg/]	[01* dtừ]\n- (lóng) của ăn cắp, của ăn cướp, của phi nghĩa\n- (lóng) thắng lợi (đạt được bằng mánh khoé chính trị)\n- (Uc) gói quần áo (của thợ mổ...) 
swag-bellied [01/'swæg'belid/]	như [03abdominous]
swage [01/sweidʒ/]	[01* dtừ]\n- (kỹ) khuôn rập, khuôn ép\n[01* ngđtừ]\n- (kỹ) rập nóng
swagger [01/'swægə/]	[01* dtừ]\n- dáng điệu nghênh ngang; thái độ nghênh ngang; vẻ vênh váo\n- lời nói huênh hoanh khoác lác\n- vẻ đường hoàng tự tin; vẻ phóng khoáng\n- tính hợp thời trang; vẻ bảnh bao, vẻ lịch sự\n[01* ttừ]\n- (tục) bảnh bao\n[02= swagger clothes] quần áo bảnh bao\n[01* nđtừ]\n- đi đứng nghênh ngang; vênh váo\n- nói khoác lác huênh hoang\n[01* ngđtừ]\n- doạ dẫm (ai) ; nạt nộ (ai)\n[02= to swagger somebody into doing something] doạ dẫm ai bắt làm việc gì; nạt nộ ai bắt làm việc gì
swagger-cane [01/'swægə'kein/]	[01* dtừ]\n- gậy ngắn (của sĩ quan) 
swaggerer [01/'swægərə/]	[01* dtừ]\n- người đi nghênh nang; người vênh váo\n- người hay huênh hoang khoác lác
swaggeringly [01/'swægəriηli/]	[01* phtừ]\n- nghênh ngang; vênh váo\n- huênh hoang khoác lác
swagger-stick [01/'swægə'stik/]	như [03swagger-cane]
swaggi [01/'swægi/]	[01* dtừ]\n- xem [03swagman] 
swaging [01/'swægiη/]	[01* dtừ]\n- sự rèn khuôn; dập nóng
swagman [01/'swægmən/]	[01* dtừ]\n- (c) kẻ sống lang thang
swahili [01/swa:'hili/]	[01* dtừ]\n- người nói tiếng Bantu ở Đông Phi\n- tiếng Bantu trong thương mại và chính trị ở Đông Phi
swain [01/swein/]	[01* dtừ]\n- anh thanh niên nông thôn cục mịch\n- người yêu ở chốn đồng quê\n-(đùa) người yêu, người tình; người cầu hôn
swale [01/sweil/]	như [03sweal]
swallet [01/'swɔlit/]	[01* dtừ]\n- (tiếng địa phương) suối ngầm
