Man of Sorrows [01/'mænəv'sɔrouz/]	[01* dtừ]\n- Giêxu
manipulation [01/mə,nipju'lei∫n/]	[01* dtừ]\n- sự vận dụng bằng tay, sự thao tác\n- sự lôi kéo, sự vận động (bằng mánh khoé) 
manipulative [01/mə'nipjuleitiv/]	[01* ttừ]\n- (thuộc) sự vận dụng bằng tay, (thuộc) sự thao tác\n- (thuộc) sự lôi kéo, (thuộc) sự vận động (bằng mánh khoé) 
manipulator [01/mə'nipjuleitə/]	[01* dtừ]\n- người vận dụng bằng tay, người thao tác\n- người lôi kéo, người vận động (bằng mánh khoé)\n- (kỹ) bộ đảo phôi; tay máy; manip
manipulatory [01/mə'nipjuleitəri/]	[01* ttừ]\n- xem [03manipulative] 
manitou [01/'mænitu:/]	[01* dtừ]\n- thần ác; thần thiện (thổ dân Mỹ)\n- vật thần, bùa
manitu [01/'mænitu:/]	- xem [03manitou] 
man-killer [01/'mæn,kilə/]	[01* dtừ]\n- đàn bà du đãng làm đàn ông sa ngã
mankind [01/mæn'kaind/]	[01* dtừ]\n- loài người, nhân loại\n- nam giới, đàn ông (nói chung) 
manlike [01/'mænlaik/]	[01* ttừ]\n- như đàn ông; có những tính chất của đàn ông
manlikeness [01/'mænlaiknis/]	[01* dtừ]\n- tính như đàn ông
manliness [01/'mænlinis/]	[01* dtừ]\n- tính chất đàn ông; đức tính đàn ông; tính hùng dũng, tính mạnh mẽ, tính can đảm, tính kiên cường\n- vẻ đàn ông (đàn bà) 
manly [01/'mænli/]	[01* ttừ]\n- có tính chất đàn ông; có đức tính đàn ông; hùng dũng, mạnh mẽ, can đảm, kiên cường\n- có vẻ đàn ông (đàn bà)\n- hợp với đàn ông (đồ dùng) 
man-made [01/'mæn'meid/]	[01* ttừ]\n- do con người làm ra; nhân tạo
manna [01/'mænə/]	[01* dtừ]\n- (kinh thánh) lương thực trời cho\n- (bóng) cái tự nhiên được hưởng; lộc thánh\n- dịch tần bì (nước ngọt lấy ở cây tần bì, dùng làm thuốc nhuận tràng) 
mannequin [01/'mænikin/]	[01* dtừ]\n- cô gái mặc áo mẫu chiêu hàng (trong hiệu thợ may)\n- người kiểu\n- người giả
