responsions [01/ri'spɔn∫ənz/]	[01* dtừ s/n]\n- kỳ thi ngày xưa yêu cầu để vào trường đại học Oxford
retiary [01/ri:'∫iəri/]	[01* ttừ]\n- hình lưới; thuộc lưới (nhện) 
reticence [01/'retisns/]	[01* dtừ]\n- tính trầm lặng, tính ít nói; tính dè dặt kín đáo trong lời nói
reticent [01/'retisənt/]	[01* ttừ]\n- trầm lặng, ít nói; dè dặt kín đáo trong lời nói
reticently [01/'retisntli/]	[01* phtừ]\n- dè dặt, kín đáo (trong cách nói)\n- trầm lặng, ít nói
reticle [01/'retikl/]	[01* dtừ]\n- đường kẻ ở mắt lưới; đường chữ thập (trong dụng cụ quang học)((cũng) [03reticule] ) 
reticula [01/ri'tikju:lə/]	[01* dtừ, s/n]\n- (động vật) dạ tổ ong (loài nhai lại)\n- (phẫu) màng lưới, mô lưới
reticular [01/ri'tikjulə/]	[01* ttừ]\n- dạng lưới; thuộc lưới\n- phức tạp
reticulate [01/ri'tikjulət/]	[01* ttừ]\n- hình mắc lưới, hình mạng\n[01* ngđtừ]\n- làm thành hình mắt lưới\n[01* nđtừ]\n- có hình mắc lưới
reticulated [01/ri'tikjuleitid/]	[01* ttừ]\n- có hình mắt lưới
reticulation [01/ri,tikju'lei∫n/]	[01* dtừ]\n- hình mắc lưới; cấu tạo hình mắc lưới
reticule [01/'retikju:l/]	[01* dtừ]\n- (như) [03reticle]\n- túi lưới (của phụ nữ) ; túi xách tay (của phụ nữ) 
reticulin [01/ri'tikju:lin/]	[01* dtừ]\n- (sinh vật) chất lưới
reticulocyte [01/ri'tikju:lou,sait/]	[01* dtừ]\n- (sinh vật) tế bào lưới; buồng cầu lưới
reticulopodia [01/ri,tikjulə'poudiə/]	[01* dtừ]\n- chân lưới
reticulum [01/ri'tikju:ləm/]	như [03reticula]
retiform [01/'retifɔ:m/]	[01* dtừ]\n- hình mạng lưới
retiling [01/ri:'tailiη/]	[01* dtừ]\n- sự lợp mái lại
