console-mirror [01/'kɔnsoul,mirə/]	[01* dtừ]\n- gương chân quỳ
consoler [01/kən'soulə/]	[01* dtừ]\n- người an ủi\n[04! baby's consoler]\n- núm vú cao su (để trẻ em ngậm) 
console-radio [01/'kɔnsoul,reidiou/]	[01* dtừ]\n- (rađiô) đứng
console-table [01/'kɔnsoul'teibl/]	[01* dtừ]\n- bàn chân quỳ
consolidate [01/kən'sɔlideit/]	[01* ngđtừ]\n- làm (cho) chắc, củng cố\n[02= to consolidate the road surface] làm chắc mặt đường (bằng cách cán đầm...)\n[02= to consolidate a military position] củng cố một vị trí quân sự\n[02= to consolidate one's position] củng cố địa vị\n[02= to consolidate the friendship between two countries] củng cố tình hữu nghị giữa hai nước\n- hợp nhất, thống nhất\n[02= to consolidate two factories] hợp nhất hai nhà máy\n[01* nđtừ]\n- trở nên chắc chắn, trở nên vững chắc
consolidated annuities	- xem [03consols] 
consolidated fund [01/kən'soulideitid, fʌnd/]	- (ktế) Quỹ ngân khố.
consolidated school [01/kən'sɔlideitid skul/]	[01* dtừ]\n-(Mỹ) trường công hợp nhất (gộp nhiều trường nhỏ lại) 
consolidated-annuities	như [03consols]
consolidation [01/kən,sɔli'dei∫n/]	[01* dtừ]\n- sự làm vững chắc, sự làm củng cố\n- sự hợp nhất, sự thống nhất
consolidator	- xem [03console] 
consolingly	- xem [03consolidate] 
consols [01/kən'sɔlz/]	[01* dtừ s/n]\n- ((vt) của [03consolidated-annuities] ) công trái hợp nhất (của chính phủ Anh từ năm 1751) 
consommé [01/kən'sɔmei/]	[01* dtừ]\n- nước dùng
consonance [01/'kɔnsənəns/]	[01* dtừ]\n- (âm nhạc) sự thuận tai\n- sự phù hợp, sự hoà hợp\n- sự thông cảm (tâm tình, tư tưởng) 
consonant [01/'kɔnsənənt/]	[01* ttừ]\n- (âm nhạc) thuận tai, êm ái, du dương\n- hoà hợp, phù hợp\n[02= consonant with one's duty] phù hợp với bổn phận của mình, đúng với bổn phận của mình\n[01* dtừ]\n- (ngôn) phụ âm
consonant articulation	- (kỹ) cách phát rõ phụ âm
consonantal [01/,kɔnsə'næntl/]	[01* ttừ]\n- (ngôn)(thuộc) phụ âm
consonantally	- xem [03consonantal] 
consonantly	- xem [03consonant] 
consort [01/'kɔnsɔ:t/]	[01* dtừ]\n- chồng, vợ (của vua chúa)\n[02= king (prince) consort] chồng nữ hoàng\n[02= queen consort] đương kim hoàng hậu\n- (hàng hải) tàu thuyền cùng đi với nhau một đường\n[02= to sail in consort] cùng đi với nhau một đường tàu thuyền\n[01* nđtừ]\n- đi lại, giao thiệp, kết giao với, kết bạn với\n[02= to consort with someone] đi lại giao thiệp với ai\n- (+[04 with]) phù hợp, hoà hợp\n[02= to consort with something] phù hợp với cái gì\n[01* ngđtừ]\n- kết thân, kết giao
consortia [01/kən'sɔ:tjəm/]	như [03consortium]
consortial	- xem [03consortium] 
consortism [01/'kɔnsɔ:tizm/]	[01* dtừ]\n- (sinh học) hiện tượng cộng sinh, hiện tượng quần hợp
consortium [01/kən'sɔ:tjəm/]	[01* dtừ] s/n [03consortium]\n- côngxoocxiom
conspecific [01/kənspe'sifik/]	[01* ttừ]\n- cùng loài
conspectus [01/kən'spektəs/]	[01* dtừ]\n- đại cương, tổng quan\n- biểu đồ tổng quát
consperse [01/kən'spə:s/]	[01* ttừ]\n- (thực vật) phát tán dày; mọc dày
conspicuity [01/,kɔnspi'kju:iti/]	như [03conspicuousness]
conspicuous [01/kən'spikjuəs/]	[01* ttừ]\n- dễ thấy, rõ ràng, đập ngay vào mắt, lồ lộ\n[02= traffic sings should be conspicuous] các dấu hiệu giao thông cần phải dễ thấy\n- làm cho người ta để ý đến, đáng chú ý\n[02= he is conspicuous for his bravery] anh ta được người ta để ý vì lòng dũng cảm\n[02= to make oneself conspicuous] làm cho người ta để ý đến mình
conspicuously [01/kən'spikjuəsli/]	[01* phtừ]\n- dễ thấy, rõ ràng, đập ngay vào mắt, lồ lộ
conspicuousness [01/kən'spikjuəsnis/]	[01* dtừ]\n- sự dễ thấy, sự rõ ràng, sự đập ngay vào mắt
