diggings [01/digiηz/]	[01* dtừ s/n]\n- vật liệu đào lên\n- nơi mỏ vàng, kim loại, đá quý
dight [01/dait/]	[01* ngđtừ (cổ)((thường) chỉ động tính từ quá khứ]\n- trang điểm, trang sức, mặc (quần áo đẹp) cho\n[02= to be dight with (in) diamond] trang sức bằng kim cương\n- chuẩn bị
digit [01/'didʒit/]	[01* dtừ]\n- ngón chân, ngón tay\n- ngón (bề ngang ngón tay dùng làm đơn vị đo)\n- (thiên văn) ngón (một phần mười hai đường kính mặt trời hoặc mặt trăng để đo nhật thực, nguyệt thực)\n- con số (A-rập) 
digit counter	- (kỹ) máy đếm số tự/hiện số
digit pulse	- (kỹ) xung số tự
digital [01/'didʒitl/]	[01* ttừ]\n- (thuộc) ngón chân, (thuộc) ngón tay\n- (thuộc) con số (từ 0 đến 9)\n[01* dtừ]\n- phím (pianô) 
digital circuit	- (kỹ) mạch dạng số tự
digital clock	- (kỹ) đồng hồ hiện số
digital communication	- (kỹ) truyền thông dạng số tự
Digital Compact Cassette (DCC)	- (kỹ) cátxét dạng số tự
digital companding	- (kỹ) ép-giãn dạng số tự
digital computer	- (kỹ) máy điện toán số tự
digital counter	- (kỹ) máy đếm hiện số = [03digit counter] 
digital cross-connect system	- (kỹ) hệ thống đối kết dạng số tự
digital data	- (kỹ) dữ liệu dạng số tự
digital data receiver	- (kỹ) máy thu dữ liệu dạng số tự
digital data recorder	- (kỹ) máy ghi dữ liệu dạng số tự
digital data transmission	- (kỹ) truyền dữ liệu dạng số tự
digital delay line	- (kỹ) dây trễ dạng số tự
digital display	- (kỹ) hiển thị dạng sốtự
digital filter	- (kỹ) bộ lọc dạng số tự
digital image	- (kỹ) hình dạng số tự
digital imaging	- (kỹ) tạo hình dạng số tự
Digital Imaging and Communications in Medicine (DICOM)	- (kỹ) Tạo Hình Dạng Số và Truyền Thông trong Y Khoa
digital indicator	- (kỹ) bộ chỉ báo dạng số tự
digital information	- (kỹ) tin tức dạng số tự
digital integrator	- (kỹ) bộ tích phân dạng số tự
digital inverter	- (kỹ) bộ biến đổi dạng số tự
digital loop carrier system	- (kỹ) hệ thống tải chu trình số tự
digital meter	- (kỹ) đồng hồ hiện số, máy đo hiện số
digital modem	- (kỹ) bộ biến hoàn dạng số tự
digital modulation	- (kỹ) biến điệu dạng số tự
digital modulator	- (kỹ) bộ biến điệu dạng số tự
digital module	- (kỹ) môddun dạng số tự
digital multimeter	- (kỹ) máy đo đa năng dạng số tự
digital multiplexer	- (kỹ) bộ dạng đa hợp dạng số tự
digital noise	- (kỹ) tạp âm dạng số tự
digital optical disk (DOD)	- (kỹ) đĩa quang dạng số tự
digital photography	- (kỹ) môn nhiếp ảnh dạng số tự
digital recording	- (kỹ) ghi bằng dạng số tự
digital signal	- (kỹ) tín hiệu dạng số tự
digital signal processing (DSP)	- (kỹ) xử lý tín hiệu dạng số tự
digital signal processor (DSP)	- (kỹ) bộ xử lý tín hiệu dạng số tự
digital signature	- (kỹ) chữ kí dạng số tự
digital simulation	- (kỹ) sự mô phỏng dạng số tự
digital simulator	- (kỹ) bộ mô phỏng dạng số tự
digital speech processing	- (kỹ) xử lí tiếng nói dạng số tự
digital switch	- (kỹ) bộ chuyển dạng số tự
digital switching equipment	- (kỹ) thiết bị chuyển dạng số tự
digital switching system	- (kỹ) hệ thống chuyển dạng dạng số tự
digital synthesizer	- (kỹ) bộ tổng hợp dạng số tự
digital telephone	- (kỹ) máy điện thoại dạng số tự
digital television	- (kỹ) truyền hình dạng số tự
digital transmission	- (kỹ) truyền dạng số tự
digital typography	- (kỹ) ngành sắp chữ dạng số tự
digital variable	- (kỹ) biến số dạng số tự
digital video	- (kỹ) viddêo dạng số tự
digital video disk (DVD)	- (kỹ) đĩa viddêo dạng số tự
digital voltmeter	- (kỹ) vôn kế hiện số
digital VTR (video tape recorder)	- (kỹ) máy ghi băng viddêo dạng số tự
digital watch	- đồng hồ hiện số
digital-analog conversion	- (kỹ) sự đổi dạng số sang sóng
digital-image conversion	- (kỹ) sự đổi dạng số sang hình
digitalin [01/,didʒi'teilin/]	[01* dtừ]\n- (y) đigitalin
digitalis [01/,didʒi'teilis/]	[01* dtừ]\n- (thực vật) giống mao địa hoàng\n- (dược học) lá mao địa hoàng (dùng làm thuốc) 
digitalize [01/'didʒi,tlaiz/]	[01* ngđtừ]\n- (tin học) số hoá
digitalized data	- (kỹ) dữ liệu dạng số tự hóa
digitalizer [01/'didʒi,taizə/]	[01* dtừ]\n- (tin học) bộ số hoá
digitate [01/'didʒitit/]	[01* ttừ]\n- (sinh vật) phân ngón, hình ngón
digitation [01/,didʒi'tei∫n/]	[01* dtừ]\n- sự phân ngón
digitiform [01/'didʒitifɔ:m/]	[01* ttừ]\n- hình ngón
digitigrade [01/'didʒitigreid/]	[01* ttừ]\n- (động vật) đi bằng đầu ngón
digitization [01/didʒitai'zei∫n/]	[01* dtừ]\n- việc số hoá
digitize [01/'didʒitaiz/]	- số hoá, rời rạc hoá, lượng tử hoá
digitized sample	- (kỹ) mẫu số tự hóa
digitizer [01/'didʒitaizə/]	- (kỹ) bộ số tự hóa, bộ chuyển/đổi sang số tự
