scratch [01/skræt∫/]	[01* ttừ]\n- hỗn tạp, linh tinh, không chọn lựa\n[02= a scratch group of people] một nhóm người linh tinh\n[02= a scratch team] (thể thao) một đội gồm những đối thủ linh tinh\n[02= a scratch dinner] một bữa cơm làm cào làm cấu qua loa (có cái gì thì dọn ra cái đó)\n[01* dtừ]\n- tiếng sột soạt (của ngòi bút)\n- sự sầy da; vết xây sát, vết xước; vết thương nhẹ\n[02= to get off with a scratch or two] thoát khỏi với một vài vết thương nhẹ\n- vạch xuất phát (trong cuộc đua)\n- sự gãi, sự cào\n- (số nhiều) bệnh nẻ (của ngựa)\n- bộ tóc giả che một phần đầu ((cũng) [03scratch-wig] )\n- (như) [03scratch race]\n[04! a scratch of the pen]\n- chữ ký để xin; lệnh viết dễ cho\n[04! to toe (come to, come up to) the scratch]\n- có mặt đúng lúc, không trốn tránh\n[04! from (at, on) scratch]\n- (thể thao) từ điểm xuất phát (cuộc đua)\n- từ con số không, từ bàn tay trắng\n[04! up to scratch]\n- (thể thao) sẵn sàng xuất phát, sẵn sàng bước vào cuộc đấu\n- (tục) sẵn lòng đối phó với mọi khó khăn\n[01* đtừ]\n- cào, làm xước da\n- thảo luận qua loa, bàn sơ qua (một vấn đề)\n- nạo kèn kẹt, quẹt\n[02= to scratch a match on the wall] quẹt cái diêm vào tường\n- ((thường) +[02out]) gạch xoá đi\n[02= to scratch out words] gạch đi mấy chữ\n- viết nguệch ngoạc\n- gãi\n[02= to scratch one's head] gãi đầu, gãi tai (lúng túng)\n- bới, tìm\n[02= to scratch about for evidence] tìm chứng cớ\n- dành dụm, tằn tiện\n- xoá tên, xoá sổ; rút tên (ai) khỏi danh sách (cuộc đua...) ; rút lui (khỏi cuộc đua...)\n[04! to scratch along]\n- (bóng) xoay sở để sống\n[04! to scratch at oneself]\n- tự lo liệu tự xoay xở\n[01* dtừ]\n- old Scratch quỷ sứ
scratch pad [01/'skræt∫'pæd/]	[01* dtừ]\n- (Mỹ) tập giấy rời
scratch-back [01/skræt∫'bæk/]	[01* dtừ]\n- dụng cụ gãi lưng
scratch-board [01/'skræt∫,bɔ:d/]	[01* dtừ]\n- tranh vẽ trên gỗ bằng dùi nung
scratch-bush [01/'skræt∫,bu∫/]	[01* dtừ]\n- (thực vật) cây lá han
scratch-cat [01/'skræt∫'kæt/]	[01* dtừ]\n- người đàn bà nanh ác; đứa bé tinh ma
scratcher [01/'skræt∫ə/]	[01* dtừ]\n- dụng cụ nạo; dao nạo
scratches [01/'skræt∫i:z/]	[01* dtừ]\n- số ít\n- bệnh phồng da chân
scratchily [01/'skræt∫ili/]	[01* phtừ]\n- nguệch ngoạc, cẩu thả, lộn xộn (về chữ viết, tranh vẽ)\n- gây tiếng kêu lạo xạo, sin sít (về ngòi bút)\n- linh tinh, hỗn tạp (nhóm người...)\n- dặm; ngứa, làm ngứa; làm xước da\n- có tiếng kêu lạo xạo, có tiếng rít khi chơi (do đựa hát bị những vết xước trên bề mặt của nó) 
scratchiness [01/'skræt∫inis/]	[01* dtừ]\n- sự nguệch ngoạc, sự cẩu thả, sự lộn xộn (về chữ viết, tranh vẽ)\n- tình trạng gây tiếng kêu lạo xạo, sin sít (của ngòi bút khi viết)\n- sự linh tinh, sự hỗn tạp (nhóm người...)\n- sự dặm; sự ngứa, làm ngứa; tình trạng làm xước da\n- tình trạng có tiếng kêu lạo xạo, có tiếng rít khi chơi (do đựa hát bị những vết xước trên bề mặt của nó) 
scratch-paper [01/'skræt∫'peipə/]	- giấy nháp
scratch-race [01/'skræt∫'reis/]	[01* dtừ]\n- cuộc chạy đua không chấp
scratch-wig [01/'skræt∫'wig/]	[01* dtừ]\n- bộ tóc giả che một phần đầu
scratchy [01/'skræt∫i/]	[01* ttừ]\n- nguệch ngoạc, cẩu thả (tranh vẽ)\n- soàn soạt (ngòi bút viết trên giấy)\n- linh tinh, năm cha ba mẹ (nhóm người...)\n- làm ngứa; làm xước da\n[02= scratchy cloth] vải mặc làm ngứa
scrawl [01/skrɔ:l/]	[01* dtừ]\n- chữ viết nguệch ngoạc, bức thư viết nguệch ngoạc; mảnh giấy ghi vội vàng\n[01* đtừ]\n- viết nguệch ngoạc, viết tháu
scrawly [01/'skrɔ:li/]	[01* ttừ]\n- nguệch ngoạc, tháu (chữ viết) 
scrawniness [01/'skrɔ:ninis/]	[01* dtừ]\n- (Mỹ) sự gầy gò; vẻ khẳng khiu
scrawny [01/'skrɔ:ni/]	[01* dtừ]\n- (Mỹ) gầy gò, khẳng khiu
scray [01/skrei/]	như [03sea swallow]
scrayer [01/'skreiə/]	[01* dtừ]\n- chim nhạn biển
screak [01/skri:k/]	[01* dtừ]\n- tiếng ken két, tiếng rít lên
