discordantly [01/dis'kɔ:dəntli/]	[01* phtừ]\n- chỏi nhau, không hợp nhau
discoruse	- biện luận
discotheque	[01* dtừ]\n- nhạc thính phòng
discount [01/'diskaunt/]	[01* dtừ]\n- sự bớt, sự giảm, sự trừ (do trả tiền ngay hoặc trả tiền mặt)\n- tiền bớt, tiền trừ, tiền chiết khấu\n- sự trừ hao (về mức độ xác thực của một câu chuyện, một bản tin...)\n[02= to tkae a story at a due discount] nghe câu chuyện có trừ hao đúng mức\n[04! at a discount]\n- hạ giá, giảm giá; không được chuộng\n[01* ngđtừ]\n- thanh toán (hối phiếu, thương phiếu...) trước thời hạn (để hưởng một tỷ lệ trừ nhất định) ; nhận thanh toán (hối phiếu, thương phiếu...) trước thời hạn (để hưởng một tỷ lệ trừ nhất định)\n- giảm giá, bớt giá, chiết khấu (do trả tiền ngay hoặc trả tiền mặt)\n- bản hạ giá; dạm bán hạ giá\n- trừ hao (về mức độ xác thực của một câu chuyện, một bản tin...)\n- không kể đến, không đếm xỉa đến, không để ý đến; coi nhẹ, đánh giá thấp tầm quan trọng của\n- sớm làm mất tác dụng (một tin tức...)\n[04! such an unfortunate eventuality had been discounted]\n- trường hợp không may đó đã được dự tính trước
discountable [01/'diskauntəbl/]	[01* ttừ]\n- có thể thanh toán trước thời hạn (để hưởng một tỷ lệ trừ nhất định) ; nhận thanh toán (hối phiếu, thương phiếu...) trước thời hạn (để hưởng một tỷ lệ trừ nhất định)\n- có thể giảm bớt, có thể hạ bớt, có thể chiết khấu (do trả tiền ngay hoặc trả tiền mặt\n- đáng trừ hao (câu chuyện)\n- có thể không đếm xỉa đến; có thể bị coi nhẹ
discountenance [01/dis'kauntinəns/]	[01* ngđtừ]\n- làm mất bình tĩnh, làm bối rối, làm luống cuống\n- làm chán nản, làm ngã lòng, làm nản lòng\n- tỏ ý phản đối, tỏ ý không tán thành
discounter [01/'diskauntə/]	[01* dtừ]\n- xem [03discount shop]\n- chủ cừa hàng bán giảm giá
discourage [01/dis'kʌridʒ/]	[01* ngđtừ]\n- làm mất hết can đảm, làm chán nản, làm ngã lòng, làm nản lòng\n- (+[04 from]) can ngăn (ai làm việc gì) 
discouraged [01/dis'kʌridʒd/]	[01* ttừ]\n- chán nản, thoái chí
discouragement [01/dis'kʌridʒmənt/]	[01* dtừ]\n- sự làm mất hết can đảm, sự làm chán nản, sự làm ngã lòng, sự làm nản lòng; sự mất hết can đảm, sự chán nản, sự ngã lòng, sự nản lòng\n- sự can ngăn (ai làm việc gì) 
discouraging [01/dis'kʌridʒin/]	[01* ttừ]\n- làm mất hết can đảm, làm chán nản, làm ngã lòng, làm nản lòng
discouragingly	[01* phtừ]\n- làm nản lòng, làm thoái chí
discourse [01/dis'kɔ:s/]	[01* dtừ]\n- bài thuyết trình, bài diễn thuyết; bài nghị luận, bài luận văn; bài giảng đạo\n- (cổ) cuộc nói chuyện, cuộc đàm luận\n[02= to hold discourse with someone on something] nói chuyện việc gì với ai\n[01* nđtừ]\n- (+[04 on, upon]) thuyết trình về; nghị luận về (một vấn đề gì)\n- nói chuyện, chuyện trò, đàm luận
