salique	- xem [03salic] 
salutary [01/'sæljutri/]	[01* ttừ]\n- bổ ích, có lợi\n- (hiếm) tốt lành (khí hậu) 
salutation [01/,sælju:'tei∫ən/]	[01* dtừ]\n- sự chào\n- tiếng chào; lời chào
salutatory [01/sə'lu:tətəri/]	[01* ttừ]\n- chào hỏi
salute [01/sə'lu:t/]	[01* dtừ]\n- sự chào; cách chào; lời chào\n- (qsự),(hàng hải) cách chào (tư thế người đứng, cách cầm vũ khí chào, cách kéo cờ chào, cách bắn súng chào)\n[02= a salute of swven guns was fired] bắn bảy phát súng chào\n[02= the salute] tư thế chào\n[02= to take the salute] nhận chào (sĩ quan cao cấp nhất ở một cuộc lễ...)\n[01* đtừ]\n- chào\n[02= to salute someone with a smile] chào ai bằng nụ cười\n- (qsự) chào (theo kiểu quân sự)\n[02= to salute with twenty one guns] bắn hai mươi mốt phát chào\n- làm cho chú ý; đập ngay vào mắt, đập vào tai (như để chào đón) 
salutiferous [01/,sælu:'tifərəs/]	[01* ttừ]\n- hiếm tốt cho sức khoẻ, làm cho khoẻ người
salvable [01/'sælvəbl/]	[01* ttừ]\n- có thể cứu được
salvage [01/'sælvidʒ/]	[01* dtừ]\n- tiền trả cứu tàu (cho hãng bảo hiểm)\n- sự cứu tàu (khỏi đắm, khỏi hoả hoạn...) ; sự cứu chạy (đồ đạc trong một vụ cháy nhà)\n- tài sản cứu được, đồ đạc cứu được\n- sự tận dụng giấy lộn (sắt vụn)\n- giấy lộn (sắt vụn...) được tận dụng\n[01* ngđtừ]\n- cứu khỏi đắm, cứu khỏi hoả hoạn
salvage money [01/'sælvidʒ,mʌni/]	[01* dtừ]\n- tiền cứu trợ
salvaged [01/'sælvidʒ/]	[01* ttừ]\n- được cứu vớt, được thu nhặt lại
salvaging [01/'sælvidʒiη/]	[01* dtừ]\n- sự cứu vớt; sự thu nhận vật liệu cũ
salvation [01/sæl'vei∫n/]	[01* dtừ]\n- sự bảo vệ (khỏi mất, khỏi thiên tai)\n- sự cứu tế, sự cứu giúp\n[02= national salvation] sự cứu nước\n- (tôn giáo) sự cứu vớt linh hồn
salvation army [01/sæl'vei∫n'ɑ:mi/]	[01* dtừ]\n- đội quân cứu tế (tổ chức từ thiện có tính chất tôn giáo trong quân đội, ở Anh và Mỹ) 
salvationism [01/sæl'vei∫nizm/]	[01* dtừ]\n- lý thuyết của đạo quân Cứu tế
salvationist [01/sæl'vei∫nist/]	[01* dtừ]\n- chiến sĩ đội quân cứu tế
salve [01/sælv/]	[01* dtừ]\n- thuốc mỡ, thuốc xoa\n- dầu hắc ín\n- điều an ủi, điều làm yên tâm\n- (Mỹ) lời xoa dịu, lời phỉnh\n[01* ngđtừ]\n- (cổ) xoa thuốc mỡ\n- bôi đen; đánh dấu (cừu, súc vật)\n- làm dịu, xoa dịu, an ủi (sự đau đớn, lòng tự ái...)\n- hoà giải (mâu thuẫn) ; giữ gìn bảo vệ (danh dự của ai) ; giải quyết (khó khăn) ; làm tan (sự nghi ngờ)\n- cứu (tàu, hàng hoá) khỏi đắm; cứu (tài sản) khỏi bị cháy\n- (Mỹ) xoa dịu, phỉnh
salver [01/'sælvə/]	[01* dtừ]\n- khay, mâm
salvia [01/'sælviə/]	như [03scarlet sage]
salvific [01/sæ'vifik/]	[01* ttừ]\n- có tác dụng cứu vớt
salvo [01/'sælvou/]	[01* dtừ]\n- điều khoản bảo lưu; sự bảo lưu\n[02= with an express salvo of their rights] với sự bảo lưu được xác định rõ ràng về những quyền lợi của họ\n- sự nói quanh (để lẩn tránh), sự thoái thác\n- phương pháp an ủi (lương tâm) ; phương pháp giữ gìn (thanh danh)\n[01* dtừ]\n- loạt súng (chào...) ; loạt đạn; đợt bom\n- tràng vỗ tay\n[02= salvo of applause] trang vỗ tay hoan nghênh
salvor [01/'sælvə/]	[01* dtừ]\n- tàu cứu; người đến cứu
sam [01/sæm/]	[01* dtừ]\n- (lóng) to stand sam chịu trả tiền (rượu...)\n- upon my sam tôi thề
sam browne [01/'sæm'braun/]	[01* dtừ]\n- thắt lưng và đai (của sĩ quan)\n- (Mỹ),(tục) sĩ quan
samara [01/sə'mɑ:rə/]	[01* dtừ]\n- (thực vật) quả cánh
samariform [01/sə'ma:rifɔ:m/]	[01* ttừ]\n- dạng quả có cánh (không nẻ) 
samaritan [01/sə'mæritən/]	[01* dtừ]\n- người Xa-ma-ri-a\n- tiếng Xa-ma-ri-a\n[02= good samaritan] người hay làm phúc
samba [01/'sæmbə/]	[01* dtừ]\n- điệu nhảy xamba\n[01* nđtừ]\n- điệu nhảy xamba
sambar [01/'sæmbə/]	như [03rusa]
sambo [01/'sæmbou/]	[01* dtừ] s/n [03sambos] /'sæmbouz/; samboses\n- /'sæmbouz/\n- người lai da đen, người da đen
sambur [01/'sæmbə/]	[01* dtừ]\n- (động vật) nai bờm
same	[01* ttừ]\n- đều đều, đơn điệu\n[02= their jokes are a little same] những câu nói đùa của chúng vẫn cứ đơn điệu như thế\n- ((thường) +[02the]) giống nhau, như nhau, không thay đổi, cùng một, cũng như vậy, cũng như thế\n[02= to say the same thing twice over] nói đi nói lại một điệu như nhau\n[02= to travel in the same direction] đi về cùng một hướng\n[02= he is the same age as I] anh ấy cùng tuổi với tôi\n[02= at the same time] cùng một lúc\n[02= he gave the same answer as before] anh ta vẫn giả lời như trước\n[01* dtừ & đại từ (the gõn]\n- (hiếm) lại người ấy, cũng vẫn người ấy\n[02= to the same] lại gửi người ấy\n[02= from the same] cũng lại do người ấy gửi (tặng...)\n- cùng một điều ấy, cùng một vật ấy, vật như thế, điều như thế, việc như thế\n[02= we would do the same again] chúng ta sẽ lại làm việc như thế nữa\n[02= more of the same] cứ cho thêm cùng một thứ như vậy, cứ cho uống thêm cùng một thứ thuốc...\n- (cổ),(thương nghiệp) ; (pháp lý) ; luộc koảy pốc điều đã nói trên, người đã nói trên; vật đó; điều đó, người đó\n[01* phtừ (the gõn]\n- cũng như thế, vẫn như thế, cũng như\n[02= I think the same of him] tôi cũng nghĩ về anh ta như thế\n[02= just the same] vẫn y như thế, vẫn y như thường\n[04! all the same]\n- xem [03all] 
samekh [01/'sa:məkh/]	[01* dtừ]\n- chữ cái thứ 15 của bảng chữ cái Hê-brơ
samel [01/'sæməl/]	[01* ttừ]\n- non (gạch, ngói) 
samel-brick [01/'sæməl,brik/]	[01* dtừ]\n- gạch thô
samely [01/'seiməli/]	[01* ttừ]\n- đơn điệu; không thay đổi
sameness [01/'seimnis/]	[01* dtừ]\n- tính đều đều, tính đơn điệu\n- tính không thay đổi, tính giống nhau, tính như nhau, tính cũng thế
samey [01/'seimi/]	[01* ttừ]\n- (tục) đơn điệu; không thay đổi
samisen [01/'sæmisən/]	[01* dtừ]\n- (âm nhạc) đàn Nhật ba dây
samite [01/'sæmait/]	[01* dtừ]\n- gấm
samizdat [01/'sæmizdæt/]	[01* dtừ]\n- sự xuất bản lậu những sách bị cấm
samlet [01/'sæmlit/]	[01* dtừ]\n- cá hồi con
sammy [01/'sæmi/]	[01* dtừ]\n- (lóng) lính mỹ (trong đại chiến I) 
samoan [01/sə'mouən/]	[01* ttừ]\n- (thuộc) Xa-mô-a\n[01* dtừ]\n- người Xa-mô-a\n- tiếng Xa-mô-a
samosa [01/sə'mousə/]	[01* dtừ]\n- bánh gối (món ăn nhanh có gia vị với thịt, rau nhồi trong một cái vỏ bột rán giòn hình tam giác) 
samovar [01/'sæmouvɑ:/]	[01* dtừ]\n- ấm xamôva, ấm đun trà (của Nga) 
samoyed [01/'sæməjed/]	[01* dtừ]\n- người dân miền Bắc Siberia\n- giống chó trắng Bắc cựu
samp [01/sæmp/]	- (Mỹ) cháo ngô
sampan [01/'sæmpæn/]	[01* dtừ]\n- thuyền ba ván, thuyền tam bản
samphire [01/'sæmfaiə/]	như [03sea fennel]
sample [01/'sɑ:mpl/]	[01* dtừ]\n- mẫu, mẫu hàng\n[02= to send something as a sample] gửi vật gì để làm mẫu\n[01* ngđtừ]\n- lấy mẫu, đưa mẫu\n- thử\n[02= to sample a new restaurant] đi ăn thử một quán mới
sample card [01/'sæmpl,ka:d/]	[01* dtừ]\n- bảng mẫu hàng
sample post [01/'sæmpl poust/]	[01* dtừ]\n- vật mẫu không có giá trị
sample room [01/'sæmpl,ru:m/]	[01* dtừ]\n- phòng bày vật mẫu
sample space [01/'sæmpl,speis/]	- (ktế) Không gian mẫu.
sampler [01/'sɑ:mplə/]	[01* dtừ]\n- vải thêu mẫu\n- (kỹ) ống góp, cực góp
sampling [01/'sæmpliη/]	[01* dtừ]\n- sự lấy mẫu\n[02= oil sampling] sự lấy mẫu dầu hoả
sampson [01/'sæmpsn/]	như [03samson]
samsara	[01* dtừ]\n- (Phật giáo) luân hồi (chu kỳ sinh, tử, tái sinh) 
samson [01/'sæmsn/]	[01* dtừ]\n- Xam-xon, người có sức khoẻ phi thường
samurai [01/,sæmurai/]	[01* dtừ]\n- Xamurai (người dòng dõi cấp quân dân Nhật)\n- (sử học) sĩ quan Nhật
sanative [01/'sænətiv/]	[01* ttừ]\n- để trị bệnh, có thể chữa bệnh
sanatoria [01/,sæni'teəriə/]	như [03sanatorium]
sanatorium [01/,sænə'tɔ:riəm/]	[01* dtừ] s/n [03sanatoria] /,sæni'teəriə/ ((cũng) [03sanitarium] )\n- viện điều dưỡng\n- nơi an dưỡng
sanctification [01/,sæηkti'kei∫n/]	[01* ttừ]\n- sự thánh hoá; sự đưa vào đạo thánh; sự làm cho hợp đạo thánh\n- sự biện hộ, sự biện bạch; sự làm cho có vẻ vô tội
sanctified [01/'sæηktifaid/]	[01* ttừ]\n- đã được thánh hoá; đã được đưa vào đạo thánh\n- (như) [03sanctimonious] 
sanctifier [01/'sæηktifaiə/]	[01* dtừ]\n- chúa thánh thần
sanctify [01/'sæηktifai/]	[01* ngđtừ]\n- thánh hoá; đưa vào đạo thánh; làm hợp đạo thánh\n- biện hộ, biện bạch; làm cho có vẻ vô tội\n[02= the end sanctifies the means] mục đích biện hộ cho thủ đoạn
sanctimonious [01/,sæηkti'mouniəs/]	[01* ttừ]\n- phô trương sự mộ đạo, phô trương lòng tin đạo; làm ra vẻ mộ đạo ((cũng) [03sanctified] ) 
sanctimoniously [01/,sæηkti'mouniəsli/]	[01* phtừ]\n- tỏ ra cao đạo, tỏ ra mộ đạo
sanctimoniousness [01/,sæηkti'mouniəsnis/]	[01* dtừ]\n- sự phô trương lòng mộ đạo, sự phô trương lòng tin đạo; sự làm ra vẻ một đạo
sanctimony [01/'sæηktiməni/]	như [03sanctimoniousness]
sanction [01/'sæηk∫n/]	[01* dtừ]\n- sự phê chuẩn, sự thừa nhận; sự đồng ý\n[02= with the sanction of the author] với sự đồng ý của tác giả\n- sự được phép của phong tục tập quán\n- luật pháp, sắc lệnh\n- hình phạt ((cũng) [03vindicatory (punitive] ) sanction)\n- sự khen thưởng ((cũng) [03remuneratory sanction] )\n[01* ngđtừ]\n- phê chuẩn, thừa nhận, đồng ý\n- cho quyền, ban quyền hành\n- luật quy định hình thức thưởng phạt (cho việc chấp hành hay vi phạm một đạo luật)\n- khuyến khích (một hành động) 
sanctitude [01/'sæηktitjud/]	[01* dtừ]\n- (hiếm) tính thiêng liêng, tính thánh
sanctity [01/'sæηkəti/]	[01* dtừ]\n- tính thiêng liêng, tính thánh\n- sự bất khả xâm phạm\n- (số nhiều) sự ràng buộc thiêng liêng\n[02= the sanctities of the home] những sợi dây gia đình thiêng liêng
sanctuary [01/'sæηktjuəri/]	[01* dtừ]\n- nơi tôn nghiêm (nhà thờ, chùa chiền)\n- nơi bí ẩn, chỗ thầm kín\n[02= the sanctuary of the heart] nơi bí ẩn trong lòng\n- nơi trú ẩn, nơi trốn tránh, nơi cư trú\n[02= to take (seek) sanctuary] tìn nơi ẩn tránh\n[02= to violate (break) sanctuary] bắt bớ (hành hung)(ai) ở nơi trú ẩn\n[02= rights of sanctuary] quyền bảo hộ, quyền cho cư trú\n- khu bảo tồn chim muông thú rừng
sanctum [01/'sæηktəm/]	[01* dtừ]\n- chốn linh thiêng, chính điện\n- phòng riêng, phòng làm việc (không ai xâm phạm được) 
sand [01/sænd/]	[01* dtừ]\n- cát\n- (số nhiều) bãi cát, lớp cát (ở dưới đáy) ; (Mỹ) bờ biển\n- (tục) tính kiên định; sức chịu đựng; lòng can đảm\n- màu cát\n[04! numberless as the sand(s)]\n- vô số, hằng hà sa số\n[04! the sands are running out]\n- sắp đến lúc tận số\n[01* ngđtừ]\n- đổ cát, phủ cát, rải cát\n- trộn cát (vào đường, vào len) để gian lận\n- đánh bóng bằng cát
sand hog [01/'sænd'hɔg/]	[01* dtừ]\n- người làm cát; người lấy cát\n- người làm công trình xây dựng ở hầm sâu; người làm công trình xây dựng ở đáy biển
sand martin [01/'sand'ma:tin/]	[01* dtừ]\n- loại chim làm tổ nơi bờ cát
sand trap [01/'sænd'træp/]	[01* dtừ]\n- (Mỹ) hố cát (làm vật chướng ngại trên bãi đánh gôn) 
sandal [01/'sændl/]	[01* dtừ]\n- dép\n- quai dép (ở mắt cá chân)\n[01* ngđtừ, (thường) động tính từ quá khứ]\n- đi dép (cho ai)\n- buộc quai, lồng quai (vào dép...)\n[01* dtừ] [03sandal-wood] /'sændlwud/ (sanders)\n- /'sɑ:ndəz/ (sanders_wood)\n- /'sɑ:ndəzwud/\n- gỗ đàn hương
sandalled [01/'sændlid/]	[01* ttừ]\n- đi dép, đi xăng đan
sandal-wood [01/'sændlwud/]	như [03sandal]
sandal-wood oil [01/'sændlwud 'ɔil/]	[01* dtừ]\n- dầu đàn hương
