tar sealed	462-6321-B
tar sprayer	462-1463-B
tar water	462-8242-B
taradiddle	462-1531-B
taramasalata	462-1685-B
tarantare	462-1855-B
tarantella	462-1908-B
tarantelle	462-1960-B
tarantula	462-2065-B
tarasxcum	462-2190-B
taratantara	462-2245-B
taraxacum	462-2342-B
tarboosh	462-2397-B
tardigrade	462-2543-B
tardily	462-2643-B
tardiness	462-2836-B
tardo	462-2979-B
tardy	462-3044-B
tare	462-3148-B
targe	462-3262-B
target	462-3337-B,429-7924-S
target seeking bomb	462-3794-B
target ship	462-3696-B
tariff	462-3929-B,389-26306-S
tarmac	462-4290-B
tarn	462-4356-B
tarnish	462-4461-B
tarnishable	462-4873-B
taro	462-4957-B
taroc	462-5096-B
tarot	462-5132-B
tarpaulin	462-5212-B
tarpon	462-5345-B
tarradiddle	462-5409-B
tarragon	462-5459-B
tarred	462-5535-B
tarring	462-5612-B
tarrock	462-5723-B
tarry	462-5825-B
tarrying	462-6077-B
tarsal	462-6208-B
tarsi	462-6415-B
tarsus	462-6452-B
tart	462-6563-B
tartan	462-6872-B
tartane	462-7040-B
tartar	462-7084-B,106-3309-S
tartar sauce	462-7285-B
tartarean	462-7436-B
tartarian	462-7508-B
tartaric	462-7572-B
tartaric acid	462-7629-B
tartish	462-7785-B
tartlet	462-7847-B
tartness	462-7914-B
tartufe	462-8098-B
tartuffe	462-8139-B
tarzan	462-8333-B
task	462-8463-B,2-2781-S,6-19910-S,39-5169-S
task force	462-9224-B
tasker	462-9300-B
taskmaster	462-9427-B
taskmistress	462-9532-B
taskwork	462-9627-B
tass	462-9689-B
tasse	121-6237-S
tassel	462-9831-B
tasseled	462-10105-B
