shelta [01/'∫eltə/]	[01* dtừ]\n- tiếng lóng bí mật của người du đãng Ireland
shelter [01/'∫eltə/]	[01* dtừ]\n- chỗ che, chỗ nương tựa, chỗ ẩn, chỗ núp, hầm\n[02= to give shelter to somebody] cho ai nương náu, bảo vệ ai\n[02= Anderson shelter] hầm An-đe-xon, hầm sắt lưu động\n- lầu, chòi\n- phòng, cabin (người lái)\n[01* đtừ]\n- che, che chở, bảo vệ\n[02= to shelter someone from the rain] che cho ai khỏi mưa\n- ẩn, núp, nấp, trốn\n[02= to shelter oneself behind a tree] nấp sau cây
shelter tent [01/'∫eltə'tent/]	[01* dtừ]\n- (qsự) lều nhỏ
shelterbelt [01/'∫eltə,belt/]	[01* dtừ]\n- hàng cây chắn gió, nước lũ (để che chở mùa màng) 
sheltered [01/'∫eltəd/]	[01* ttừ]\n- được che, được che chở, được bảo vệ\n[02= sheltered trades] những ngành nghề được bảo vệ (không bị nước ngoài cạnh tranh) 
shelterless [01/'∫eltəlis/]	[01* ttừ]\n- không nơi nương náu, không nơi nương thân
shelter-trenches [01/'∫eltə,trent∫iz/]	[01* dtừ] s/n\n- (qsự) đường hào yểm hộ
shelty [01/'∫elti/]	[01* dtừ]\n- (Ê-cốt) ngựa non\n- chó chăn cừu
shelve [01/∫elv/]	[01* ngđtừ]\n- xếp (sách) vào ngăn\n- (bóng) cho (một kế hoạch) vào ngăn kéo, bỏ xó\n- thải (người làm)\n- đóng ngăn (cho tủ)\n[01* nđtừ]\n- dốc thoai thoải
shelved [01/'∫elvd/]	[01* ttừ]\n- nằm trên giá\n- bị hoãn lại
shelves [01/∫elvz/]	[01* dtừ] s/n [03shelves] /ʃelvz/\n- giá sách; ngăn sách\n- cái xích đông\n- đá ngầm; bãi cạn\n- (địa) thềm lục địa\n[04! on the shelf]\n- đã xong; bỏ đi, xếp xó; không ai rước (con gái) 
shelving [01/'∫elviη/]	[01* dtừ]\n- giá; vật liệu để đóng giá (sách) 
shelvy [01/'∫elvi/]	[01* ttừ]\n- dốc\n[02= shelvy bottom] đáy sông dốc
shemozzle [01/∫i'mɔzl/]	[01* dtừ]\n- (lóng) cuộc cãi lộn; sự ồn ào, sự lộn xộn
shenanigan [01/ʃi'nænigən/]	[01* dtừ]\n- (Mỹ),(tục) điều vớ vẫn, điều vô nghĩa\n- sự đánh lừa; sự chơi khăm, sự chơi ác
shenanigans [01/∫i'nænigənz/]	[01* dtừ]\n- (tục) hành vi tai quái, hành vi bất kham\n- sự bịp bợm; sự chơi khăm, sự lừa dối
sheol [01/'∫i:oul/]	[01* dtừ]\n- âm ty, âm phủ
shepherd [01/'∫epəd/]	[01* dtừ]\n- người chăn cừu\n- người chăm nom, săn sóc; người hướng dẫn\n- linh mục, mục sư\n[02= the good Shepherd] Chúa\n[01* ngđtừ]\n- chăn (cừu)\n- trông nom săn sóc; hướng dẫn\n- xua, dẫn, đuổi (một đám đông) 
shepherd dog [01/'∫epəd'dɔg/]	như [03sheep-dog]
shepherdess [01/'∫epədis/]	[01* dtừ]\n- cô gái chăn cừu, người đàn bà chăn cừu
shepherd's pie [01/'∫epədz'pai/]	[01* dtừ]\n- món thịt băm nấu với khoai tây hầm
shepherd's plaid [01/'∫epədz'pleid/]	[01* dtừ]\n- hình ô cờ đen trắng (trên vải) 
sheppy [01/'∫epi/]	[01* dtừ]\n- chuồng cừu
sher	- cắt; trượt, sát mòn\n- pure s. (cắt; trượt) thuần tuý
sheradize [01/'∫erədaiz/]	[01* đtừ]\n- tráng kẽm, mạ kẽm
sheraton [01/'∫erətən/]	[01* dtừ]\n- kiểu Sêraton (kiểu đồ gỗ do Sê-ra-ton sáng chế vào khoảng năm 1800) 
sherbet [01/'∫ə:bət/]	[01* dtừ]\n- nước quả loãng ((thường) ướp đá)((cũng) [03sorbet] ) 
sherd [01/∫ə:d/]	[01* dtừ]\n- (cổ) mảnh vỡ (của đồ gốm)\n- cánh cứng (của sâu bọ cánh rừng) 
shereef [01/∫ə'ri:f/]	[01* dtừ]\n- Sêrip, quý tộc A rập
sherif [01/∫ə'ri:f/]	như [03shereef]
sheriff [01/'∫erif/]	[01* dtừ]\n- quận trưởng\n- chánh án toà án quận (ở Ê-cốt)\n- (Mỹ) cảnh sát trưởng quận (được bầu ra) 
sheriffalty [01/'∫erifəlti/]	như [03sheriffdom]
sheriffdom [01/'∫erifdəm/]	[01* dtừ]\n- chức quận trưởng\n- chức cảnh sát trưởng
sheriffhood [01/'∫erifhud/]	như [03sheriffdom]
sheriffship [01/'∫erif∫ip/]	như [03sheriffdom]
sherpa [01/'∫ɜ:pə/]	[01* dtừ] s/n không đổi hoặc [03sherpas]\n- người dân Himilaya sống ở vùng giáp ranh biên giới Nepal và Tây tạng
sherry [01/'∫eri/]	[01* dtừ]\n- rượu xêret (một loại rượu trắng ở miền nam Tây ban nha) 
sherry-cobbler [01/'∫eri'kɔblə/]	[01* dtừ]\n- rượu côctay seri
