ourselves [01/,auə'selvz/]	[01* đại từ phản thân]\n- bản thân chúng ta, bản thân chúng tôi, bản thân chúng mình; tự chúng mình\n[02= we ourselves will see to it] bản thân chúng tôi sẽ chăm lo việc đó\n- chúng tôi, chúng mình (khi nói trước công chúng, khi viết một bài báo không ký tên)\n[02= it will do good to all and to ourselves] cái đó sẽ có lợi cho mọi người và cho chúng mình
our-station [01/'aut'steiʃn/]	[01* dtừ]\n- trạm tiền tiêu
ousel [01/'u:zl/]	như [03ouzel]
oust [01/aust/]	[01* ngđtừ]\n- đuổi, trục xuất; hất cẳng\n- tước
ouster [01/'austə(r) /]	[01* dtừ]\n- (pháp lý) sự trục xuất\n- (Mỹ) sự đuổi, sự trục xuất; sự hất cẳng\n- (Mỹ) kẻ đuổi, kẻ trục xuất; kẻ hất cẳng
out [01/aut/]	[01* phtừ]\n- ngoài, ở ngoài, ra ngoài\n[02= to be out in the rain] ở ngoài mưa\n[02= to be out] đi vắng\n[02= to put out to sea] ra khơi\n[02= to be out at sea] ở ngoài khơi\n- ra\n[02= the war broke out] chiến tranh nổ ra\n[02= to spread out] trải rộng ra\n[02= to lenngthen out] dài ra\n[02= to dead out] chia ra\n[02= to pick out] chọn ra\n- hẳn, hoàn toàn hết\n[02= to dry out] khô hẳn\n[02= to be tired out] mệt lử\n[02= to die out] chết hẳn\n[02= before the week is out] trước khi hết tuần\n[02= have you read it out?] anh ta đã đọc hết cuốn sách đó chưa?\n[02= he would not hear me out] nó nhất định không nghe tôi nói hết đã\n- không nắm chính quyền\n[02= Tories are out] đảng Bảo thủ (Anh) không nắm chính quyền\n- đang bãi công\n[02= miners are out] công nhân mỏ đang bãi công\n- tắt, không cháy\n[02= the fire is out] đám cháy tắt\n[02= to turn out the light] tắt đèn\n- không còn là mốt nữa\n[02= top hats are out] mũ chóp cao không còn là mốt nữa\n- to thẳng, rõ ra\n[02= to sing out] hát to\n[02= to speak out] nói to; nói thẳng\n[02= to have it out with somebody] giải thích cho rõ ra với ai, nói thẳng ra với ai\n- sai khớp, trật khớp, trẹo xương\n[02= arm is out] cánh tay bị trẹo xương\n- gục, bất tỉnh\n[02= to knock out] đánh gục, đánh bất tỉnh, cho đo ván\n[02= to pass out] ngất đi, bất tỉnh\n- sai, lầm\n[02= to be out in one's calculations] sai trong sự tính toán\n- không như bình thường, bối rối, luống cuống, lúng túng\n[02= the news put him out] tin đó làm anh ra bối rối\n[02= I have forgotten my part and I am out] tôi quên mất phần vở (kịch) của tôi và tôi cuống lên\n- đã xuất bản (sách) ; đã nở (gà con) ; đã được cho ra giao du (con gái mới lớn lên) ; đã truyền đi (bức điện)\n[04! all out]\n- (tục) hoàn toàn, hết sức, hết lực; toàn tâm toàn ý\n[04! to be out and about]\n- đã dậy ra ngoài được (sau khi ốm khỏi)\n[04! out and away]\n- bỏ xa, không thể so sánh được với\n[04! out and to be out for something]\n- đang đi tìm cái gì; theo đuổi cái gì; quyết tâm kiếm bằng được cái gì\n[04! out from under]\n- (Mỹ),(tục) thoát khỏi cảnh khó khăn, thoát khỏi cảnh hiểm nghèo\n[04! out of]\n- ra ngoài, ra khỏi, ngoài\n[02= out of the house] ra khỏi nhà\n[02= out of reach] ngoài tầm với\n[02= out of danger] thoát khỏi cảnh hiểm nguy\n- vì\n[02= out of curiosity] vì tò mò\n[02= out of pity] vì lòng trắc ẩn\n[02= out of mecessity] vì cần thiết\n- bằng\n[02= made out of stone] làm bằng đá\n- cách xa, cách\n[02= three kilometers out of Hanoi] cách Hà nội ba kilômet\n[02= out of sight out of mind] xa mặt cách lòng\n- sai lạc\n[02= to sing out of tune] hát sai, hát lạc điệu\n[02= out of drawing] vẽ sai\n- trong, trong đám\n[02= nine out of ten] chín trong mười cái (lần...)\n[02= to take one out of the lot] lấy ra một cái trong đám\n- hết; mất\n[02= to be out of money] hết tiền\n[02= to be out of patience] không kiên nhẫn được nữa, không nhịn được nữa\n[02= to be out of one's mind] mất bình tĩnh\n[02= to cheat someone out of his money] lừa ai lấy hết tiền\n- không\n[02= out of doubt] không còn nghi ngờ gì nữa, chắc chắn\n[02= out of number] không đếm xuể, vô số\n[02= out of place] không đúng chỗ, không đúng lúc\n[04! out to]\n- (Mỹ) quyết tâm, gắng sức (làm điều gì)\n[04! out with]\n- cút đi, cút khỏi, ra khỏi\n[02= out with him!] tống cổ nó ra!\n[02= out with it!] nói ra đi!, cứ nói đi!\n- bất hoà, xích mích, không thân thiện\n[02= to be out with somebody] xích mích với ai, không thân thiện với ai\n[01* dtừ]\n- từ ở... ra, từ... ra\n[02= from out the room came a voice] một giọng nói vọng từ trong buồng ra\n- ở ngoài, ngoài\n[02= out this window] ở ngoài cửa sổ này\n[01* ttừ]\n- ở ngoài, ở xa\n[02= an out match] một trận đấu ở sân khác (không phải ở sân nhà)\n- quả\n[02= out size] cỡ quá khổ\n[01* dtừ]\n- (số nhiều)(chính trị)(the outs) đảng không nắm chính quyền\n- (ngành in) sự bỏ sót chữ; chữ bỏ sót\n- (thể thao) quả bóng đánh ra ngoài sân (quần vợt)\n- (Mỹ),(lóng) lối thoát; cách cáo từ, cách thoái thác\n[04! the ins and outs]\n- xem [03in]\n[01* ngđtừ (lóng)]\n- (tục) tống cổ nó đi\n- (thể thao) cho nó đo ván (quyền Anh)\n[01* nđtừ]\n- lộ ra (điều bí mật...) 
out and out [01/'autən,aut/]	[01* ttừ] hoàn toàn; tuyệt đối\n[02= an out and out fraud] một sự bịp bợm hoàn toàn, out and out war chiến tranh tổng lực
out and outer [01/,autən'autə/]	[01* dtừ]\n-(lóng) tay cự phách; người cực đoan
out of [01/'aut əv/]	- (gtừ) ngoài, ở ngoài, ra ngoài\n[02= Mr Green is out of town this week] tuần này ông Green không ở trong thành phố; ra khỏi\n[02= to jump out of bed] nhảy ra khỏi giường; vì, do\n[02= to do something out of spite/malice] làm điều gì do oán hận/ác ý; trong số\n[02= to choose one out of six] trong sáu cái chọn một; bằng (chất liệu)\n[02= the sentry-box is made out of sheets of plywood] vọng gác làm bằng những tấm ván ép; không có; thiếu\n[02= to feel out of patience] cảm thấy hết kiên nhẫn; thoát khỏi (một tình trạng)\n[02= these newspapers are out of order] những tờ báo này không được sắp xếp ngăn nắp; có (cái gì) là nguồn gốc; từ\n[02= a scene out of a play by Pinter] một màn trong vở kịch của Pinter; mất, hết\n[02= to cheat somebody out of his money] lừa ai lấy hết tiền; cách xa\n[02= the ship sank 10 miles out of Stockholm] chiếc tàu đắm cách Stockholm 10 dặm; không liên quan, không dính líu\n[02= it's a shady deed and I'm glad to be out of it] đó là một việc làm mờ ám và tôi mừng là không dính líu vào
out of bounds [01/'autəv'baundz/]	[01* phtừ]\n- ngoài giới hạn đã định
